inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
3623,9.500000,-0.340184,0.449566,-0.038091,0.804513,0.724399,0.871411,0.315042,0.847075,1.111000,-1.041997,0.889056,2.187322,1.030451,-0.162887,0.219745,0.936645
3624,9.520000,-0.673075,0.634059,-0.240288,-0.130921,1.101125,1.268316,-0.082661,0.954318,2.135307,0.561445,0.720682,1.775446,0.618850,0.249223,-0.883569,0.940717
3625,9.540000,-0.837194,0.730592,-0.211240,-0.818972,1.040664,1.392402,-0.259521,0.678143,2.263783,1.406374,0.557294,0.912842,0.314135,0.509790,-0.953454,0.857514
3626,9.560000,-0.757191,0.773932,-0.077448,-1.317211,0.767349,1.349376,-0.321022,0.452482,2.203274,1.700616,0.449347,0.348054,0.020122,0.655231,-0.509384,0.775888
3627,9.580000,-0.621710,0.781749,0.090406,-1.425102,0.538876,0.947396,-0.454671,0.279634,1.954085,1.688477,0.364841,0.062324,-0.020608,0.702683,-0.163937,0.545528
3628,9.600000,-0.399033,0.698363,0.291895,-1.307658,0.371336,0.698189,-0.483806,0.134826,1.536829,1.428033,0.255553,-0.065173,0.006252,0.673109,0.019605,0.398337
3629,9.620000,-0.242131,0.581158,0.533125,-1.110885,0.277465,0.592711,-0.421438,0.008340,1.075304,1.088570,0.187987,-0.107917,0.026395,0.563444,0.070803,0.290817
3630,9.640000,-0.148677,0.417850,0.725327,-0.878046,0.229410,0.623774,-0.295733,-0.081965,0.624766,0.753352,0.073116,-0.163167,0.056470,0.419091,0.093865,0.268412
3631,9.660000,-0.094781,0.266532,0.809856,-0.656407,0.144994,0.838018,-0.165889,-0.107077,0.363051,0.480885,0.034879,-0.178177,0.030131,0.355821,0.088274,0.347960
3632,9.680000,-0.182831,0.163028,0.740119,-0.471219,0.080520,1.031329,-0.011665,-0.127362,0.235527,0.299496,-0.001317,-0.228757,-0.039930,0.346143,0.029550,0.457535
3633,9.700000,-0.370624,0.098221,0.609328,-0.347824,0.019821,1.189665,0.143424,-0.119084,0.200457,0.251381,-0.009040,-0.267921,-0.068984,0.338788,-0.040109,0.577535
3634,9.720000,-0.626284,0.129468,0.430340,-0.256885,-0.032180,1.270157,0.313328,-0.095875,0.216118,0.258627,0.025222,-0.284848,-0.064896,0.315061,-0.132139,0.624335
3635,9.740000,-0.932912,0.208319,0.273406,-0.258736,-0.110799,1.242689,0.552482,-0.055777,0.300392,0.342671,0.022584,-0.326319,0.062033,0.281331,-0.182896,0.615027
