inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
1,10.440000,0.037933,1.777078,-0.643392,-0.624928,1.163919,-1.568700,1.123356,1.676878,-1.246884,-0.949770,2.161319,-0.929879,2.150742,1.315817,2.180237,2.236592
2,10.460000,0.051472,1.780245,-0.871372,-0.532580,1.277359,-1.527646,1.098761,1.662869,-1.157127,-1.080816,2.243980,-0.915977,2.067131,1.337125,1.860082,2.401694
3,10.480000,0.028303,1.825783,-0.975791,-0.554287,1.273121,-1.459049,1.052985,1.689030,-1.289629,-1.081860,2.214817,-0.977761,2.055200,1.366488,1.732840,2.464131
4,10.500000,0.002553,1.882681,-0.945311,-0.548966,1.303322,-1.501966,1.081638,1.724827,-1.260855,-1.121345,2.301062,-0.781371,2.227500,1.374830,1.794793,2.479017
5,10.520000,-0.030667,1.834182,-1.061624,-0.512092,1.315678,-1.605552,0.982611,1.704534,-1.403219,-1.041597,2.294734,-0.877034,2.255355,1.349841,1.780192,2.470229
6,10.540000,-0.055505,1.924006,-0.978221,-0.523850,1.370678,-1.554011,1.098417,1.764036,-1.317444,-1.167828,2.392409,-0.590014,2.346185,1.411365,1.877652,2.514566
7,10.560000,-0.066670,1.945878,-1.006012,-0.504593,1.382863,-1.594059,1.101461,1.770822,-1.314027,-1.231941,2.404724,-0.557264,2.381038,1.399066,1.886543,2.448004
8,10.580000,-0.056088,1.986348,-0.942749,-0.526571,1.385957,-1.605768,1.148098,1.805289,-1.271267,-1.284250,2.425139,-0.461253,2.435257,1.369547,1.948364,2.400076
9,10.600000,-0.050828,1.994046,-0.942542,-0.531485,1.406718,-1.592491,1.141750,1.813704,-1.268579,-1.307233,2.440056,-0.489593,2.464555,1.402722,1.938633,2.421686
10,10.620000,-0.040574,2.003518,-0.962748,-0.524849,1.421282,-1.588014,1.167257,1.827078,-1.201234,-1.331261,2.432616,-0.496007,2.443930,1.394758,1.874713,2.456003
11,10.640000,-0.009352,1.970247,-1.003485,-0.539164,1.409646,-1.563661,1.093781,1.805701,-1.265479,-1.246669,2.396374,-0.642814,2.389335,1.378619,1.781268,2.484873
12,10.660000,-0.018813,1.916759,-1.020249,-0.516360,1.404854,-1.636465,1.013244,1.756606,-1.413801,-1.157434,2.376863,-0.719654,2.317024,1.339723,1.733713,2.462054
13,10.680000,-0.021765,1.953775,-0.927498,-0.539813,1.386411,-1.647840,1.024254,1.769154,-1.410444,-1.116292,2.330338,-0.770369,2.330885,1.289242,1.782196,2.391768
