inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015,v0016,v0017,v0018,v0019,v0020,v0021,v0022,v0023,v0024,v0025,v0026,v0027,v0028,v0029,v0030,v0031,v0032,v0033,v0034,v0035,v0036,v0037,v0038,v0039,v0040,v0041,v0042,v0043,v0044,v0045,v0046,v0047,v0048,v0049,v0050,v0051,v0052,v0053,v0054,v0055,v0056,v0057,v0058,v0059,v0060,v0061,v0062,v0063,v0064,v0065,v0066,v0067,v0068,v0069,v0070,v0071,v0072,v0073,v0074,v0075,v0076,v0077,v0078,v0079,v0080,v0081,v0082,v0083,v0084,v0085,v0086,v0087,v0088,v0089,v0090,v0091,v0092,v0093,v0094,v0095,v0096,v0097,v0098,v0099,v0100,v0101,v0102,v0103,v0104,v0105,v0106,v0107,v0108,v0109,v0110,v0111,v0112,v0113,v0114,v0115,v0116,v0117,v0118,v0119,v0120,v0121,v0122,v0123,v0124,v0125,v0126,v0127,v0128,v0129,v0130,v0131,v0132,v0133,v0134,v0135,v0136,v0137,v0138,v0139,v0140,v0141,v0142,v0143,v0144,v0145,v0146,v0147,v0148,v0149,v0150,v0151,v0152,v0153,v0154,v0155,v0156,v0157,v0158,v0159,v0160,v0161,v0162,v0163,v0164,v0165,v0166,v0167,v0168,v0169,v0170,v0171,v0172,v0173,v0174,v0175,v0176,v0177,v0178,v0179,v0180,v0181,v0182,v0183,v0184,v0185,v0186,v0187,v0188,v0189,v0190,v0191,v0192,v0193,v0194,v0195,v0196,v0197,v0198,v0199,v0200,v0201,v0202,v0203,v0204,v0205,v0206,v0207,v0208,v0209,v0210,v0211,v0212,v0213,v0214,v0215,v0216
1,10.720000,0.001521,0.003252,-0.005862,-0.001633,0.001686,-0.006338,-0.000395,-0.002608,-0.004583,0.004139,-0.012487,-0.999913,0.004339,-0.012469,-0.999913,0.004216,-0.012283,-0.999916,-0.000000,-0.000000,-0.000000,0.044494,-0.085924,-0.079834,0.041955,0.033692,0.003631,0.020239,0.074253,-0.127699,-0.118211,-0.225089,-0.224491,0.044820,-0.086119,-0.079486,0.041246,0.033541,0.003510,0.020181,0.074315,-0.127490,-0.117932,-0.224759,-0.224118,0.045201,-0.086247,-0.079022,0.040618,0.033408,0.003926,0.020115,0.074274,-0.127145,-0.117875,-0.224551,-0.223547,0.000445,-0.000801,0.000558,-0.002041,-0.000153,-0.000215,-0.000171,0.000291,0.000288,0.000389,0.001031,0.000865,0.069918,0.066791,0.067089,0.060385,0.001095,-0.000249,0.001127,-0.001546,-0.000524,-0.000402,-0.000140,0.000160,0.000691,0.001011,0.000643,0.001002,0.073756,0.068985,0.071113,0.063271,0.000498,-0.000755,0.000872,-0.001845,0.000695,0.001112,-0.000050,-0.000638,-0.000098,0.000302,0.000116,0.001907,0.072575,0.067050,0.074410,0.068413,-0.849862,0.612753,0.507732,-0.854571,0.283787,1.011991,-0.152238,0.226695,0.846490,1.143866,0.236838,-0.004948,0.690811,0.608202,0.502155,0.484386,-0.880822,0.647495,0.548196,-0.822564,0.322211,1.028946,-0.158827,0.277352,0.888789,1.154426,0.243539,-0.005390,0.714729,0.624117,0.491702,0.513957,-0.891818,0.631307,0.559815,-0.858763,0.302721,1.014208,-0.152917,0.271264,0.890749,1.164904,0.231068,-0.021186,0.727345,0.630891,0.504827,0.521488,0.019127,-0.587915,-0.931380,-0.065336,-0.802347,-0.929781,3.788911,-0.226456,-0.649761,-0.938750,0.243488,-0.929205,-0.999223,-0.914327,-0.638922,0.147881,-0.363448,-0.999183,-0.723673,-0.886549,-0.920835,0.261165,-0.914190,-0.898436,-0.429913,-0.214024,0.047649,0.028499,-0.138790,0.115424,-0.218371,-0.970258,-0.505242,-0.181927,-0.997127,-0.998573,1.836765,-0.963763,0.106603,-0.280781,0.009189,-0.667316,-0.995018,-0.091845,-0.677444,-0.048833,-0.795913,-0.806014,-0.755290,-0.997850,-0.272061,-0.900284,0.422143,-0.128687,-0.991043,-0.700875,-0.925391,-0.372279,0.130037,-0.126130,-0.702949,-0.234604,-0.012032,-0.226060
2,10.740000,-0.001633,0.001686,-0.006338,-0.000395,-0.002608,-0.004583,0.001300,-0.000361,-0.003118,0.004339,-0.012469,-0.999913,0.004216,-0.012283,-0.999916,0.004102,-0.012376,-0.999915,-0.000000,-0.000000,-0.000000,0.044820,-0.086119,-0.079486,0.041246,0.033541,0.003510,0.020181,0.074315,-0.127490,-0.117932,-0.224759,-0.224118,0.045201,-0.086247,-0.079022,0.040618,0.033408,0.003926,0.020115,0.074274,-0.127145,-0.117875,-0.224551,-0.223547,0.045275,-0.086674,-0.078693,0.039861,0.033672,0.004099,0.020115,0.073535,-0.127205,-0.117647,-0.224551,-0.222491,0.001095,-0.000249,0.001127,-0.001546,-0.000524,-0.000402,-0.000140,0.000160,0.000691,0.001011,0.000643,0.001002,0.073756,0.068985,0.071113,0.063271,0.000498,-0.000755,0.000872,-0.001845,0.000695,0.001112,-0.000050,-0.000638,-0.000098,0.000302,0.000116,0.001907,0.072575,0.067050,0.074410,0.068413,0.000202,-0.001051,0.000865,-0.001836,0.000387,0.000058,-0.000094,-0.001252,0.000027,0.000544,0.000214,0.001801,0.070078,0.069754,0.071038,0.069139,-0.880822,0.647495,0.548196,-0.822564,0.322211,1.028946,-0.158827,0.277352,0.888789,1.154426,0.243539,-0.005390,0.714729,0.624117,0.491702,0.513957,-0.891818,0.631307,0.559815,-0.858763,0.302721,1.014208,-0.152917,0.271264,0.890749,1.164904,0.231068,-0.021186,0.727345,0.630891,0.504827,0.521488,-0.884091,0.632890,0.516749,-0.851166,0.306933,1.017743,-0.145805,0.264437,0.895681,1.169269,0.242519,0.000827,0.740588,0.624254,0.506749,0.520036,0.041859,-0.513980,-0.929041,-0.070661,-0.821091,-0.935319,3.959625,-0.222450,-0.626598,-0.945746,0.306453,-0.935785,-0.999090,-0.915583,-0.616501,0.178544,-0.381897,-0.999220,-0.647519,-0.876133,-0.912564,0.265003,-0.910544,-0.895609,-0.443784,-0.255927,0.062341,0.044270,-0.192003,0.143897,-0.211578,-0.974146,-0.487728,-0.194684,-0.997330,-0.998442,1.802856,-0.962116,0.144322,-0.279482,-0.019771,-0.666939,-0.995210,-0.114109,-0.708265,-0.081367,-0.821535,-0.806953,-0.769118,-0.997969,-0.334314,-0.885827,0.385215,-0.119415,-0.990324,-0.684629,-0.925461,-0.382973,0.160972,-0.163277,-0.676482,-0.231962,-0.012596,-0.243651
3,10.760000,-0.000395,-0.002608,-0.004583,0.001300,-0.000361,-0.003118,-0.001963,0.001898,-0.005947,0.004216,-0.012283,-0.999916,0.004102,-0.012376,-0.999915,0.004212,-0.012296,-0.999916,-0.000000,-0.000000,-0.000000,0.045201,-0.086247,-0.079022,0.040618,0.033408,0.003926,0.020115,0.074274,-0.127145,-0.117875,-0.224551,-0.223547,0.045275,-0.086674,-0.078693,0.039861,0.033672,0.004099,0.020115,0.073535,-0.127205,-0.117647,-0.224551,-0.222491,0.045593,-0.086863,-0.078240,0.039251,0.033673,0.003943,0.020034,0.073699,-0.127108,-0.117409,-0.224353,-0.222161,0.000498,-0.000755,0.000872,-0.001845,0.000695,0.001112,-0.000050,-0.000638,-0.000098,0.000302,0.000116,0.001907,0.072575,0.067050,0.074410,0.068413,0.000202,-0.001051,0.000865,-0.001836,0.000387,0.000058,-0.000094,-0.001252,0.000027,0.000544,0.000214,0.001801,0.070078,0.069754,0.071038,0.069139,0.001066,-0.000218,0.001195,-0.001448,-0.000182,-0.000563,-0.000204,0.001018,0.000356,0.000652,0.000573,0.000797,0.071944,0.069905,0.070546,0.059462,-0.891818,0.631307,0.559815,-0.858763,0.302721,1.014208,-0.152917,0.271264,0.890749,1.164904,0.231068,-0.021186,0.727345,0.630891,0.504827,0.521488,-0.884091,0.632890,0.516749,-0.851166,0.306933,1.017743,-0.145805,0.264437,0.895681,1.169269,0.242519,0.000827,0.740588,0.624254,0.506749,0.520036,-0.871732,0.637841,0.522096,-0.825185,0.308541,1.023137,-0.162887,0.277239,0.926230,1.145331,0.250400,-0.001986,0.725294,0.639888,0.471644,0.523295,-0.023714,-0.441569,-0.931057,-0.120375,-0.800223,-0.919350,3.684530,-0.271952,-0.628957,-0.937596,0.212013,-0.937312,-0.999422,-0.925597,-0.642095,0.130244,-0.388554,-0.999238,-0.792093,-0.901103,-0.936457,0.240345,-0.912138,-0.897746,-0.441950,-0.095382,0.045508,0.020571,-0.150600,0.128321,-0.297914,-0.970114,-0.511127,-0.137519,-0.996967,-0.998858,1.877345,-0.969042,0.086814,-0.171626,0.020705,-0.709608,-0.996710,-0.182713,-0.752552,-0.082683,-0.796204,-0.839650,-0.799327,-0.998127,-0.363347,-0.905795,0.458565,-0.210247,-0.989581,-0.755398,-0.924019,-0.310560,0.132269,-0.119184,-0.739781,-0.208455,-0.088551,-0.225614
4,10.780000,0.001300,-0.000361,-0.003118,-0.001963,0.001898,-0.005947,-0.002367,0.001573,-0.006472,0.004102,-0.012376,-0.999915,0.004212,-0.012296,-0.999916,0.004372,-0.012111,-0.999917,-0.000000,-0.000000,-0.000000,0.045275,-0.086674,-0.078693,0.039861,0.033672,0.004099,0.020115,0.073535,-0.127205,-0.117647,-0.224551,-0.222491,0.045593,-0.086863,-0.078240,0.039251,0.033673,0.003943,0.020034,0.073699,-0.127108,-0.117409,-0.224353,-0.222161,0.046032,-0.086970,-0.077787,0.038623,0.033405,0.003451,0.019926,0.073960,-0.126911,-0.117025,-0.224130,-0.221847,0.000202,-0.001051,0.000865,-0.001836,0.000387,0.000058,-0.000094,-0.001252,0.000027,0.000544,0.000214,0.001801,0.070078,0.069754,0.071038,0.069139,0.001066,-0.000218,0.001195,-0.001448,-0.000182,-0.000563,-0.000204,0.001018,0.000356,0.000652,0.000573,0.000797,0.071944,0.069905,0.070546,0.059462,0.001040,-0.000382,0.001113,-0.001636,-0.001013,-0.001718,-0.000311,0.000270,0.000577,0.001268,0.000503,0.000657,0.076984,0.075081,0.073001,0.064337,-0.884091,0.632890,0.516749,-0.851166,0.306933,1.017743,-0.145805,0.264437,0.895681,1.169269,0.242519,0.000827,0.740588,0.624254,0.506749,0.520036,-0.871732,0.637841,0.522096,-0.825185,0.308541,1.023137,-0.162887,0.277239,0.926230,1.145331,0.250400,-0.001986,0.725294,0.639888,0.471644,0.523295,-0.912690,0.634842,0.551782,-0.872620,0.294553,1.007075,-0.151577,0.270619,0.906883,1.183561,0.233584,-0.023849,0.762505,0.633636,0.538974,0.514826,-0.023714,-0.441569,-0.931057,-0.120375,-0.800223,-0.919350,3.684530,-0.271952,-0.628957,-0.937596,0.212013,-0.937312,-0.999422,-0.925597,-0.642095,0.130244,-0.388554,-0.999238,-0.792093,-0.901103,-0.936457,0.240345,-0.912138,-0.897746,-0.441950,-0.095382,0.045508,0.020571,-0.150600,0.128321,-0.297914,-0.970114,-0.511127,-0.137519,-0.996967,-0.998858,1.877345,-0.969042,0.086814,-0.171626,0.020705,-0.709608,-0.996710,-0.182713,-0.752552,-0.082683,-0.796204,-0.839650,-0.799327,-0.998127,-0.363347,-0.905795,0.458565,-0.210247,-0.989581,-0.755398,-0.924019,-0.310560,0.132269,-0.119184,-0.739781,-0.208455,-0.088551,-0.225614
5,10.800000,-0.001963,0.001898,-0.005947,-0.002367,0.001573,-0.006472,-0.000589,-0.002664,-0.003345,0.004212,-0.012296,-0.999916,0.004372,-0.012111,-0.999917,0.004285,-0.011923,-0.999920,-0.000000,-0.000000,-0.000000,0.045593,-0.086863,-0.078240,0.039251,0.033673,0.003943,0.020034,0.073699,-0.127108,-0.117409,-0.224353,-0.222161,0.046032,-0.086970,-0.077787,0.038623,0.033405,0.003451,0.019926,0.073960,-0.126911,-0.117025,-0.224130,-0.221847,0.046358,-0.087207,-0.077326,0.037976,0.033238,0.003118,0.019877,0.073937,-0.126778,-0.116815,-0.223956,-0.221573,0.001066,-0.000218,0.001195,-0.001448,-0.000182,-0.000563,-0.000204,0.001018,0.000356,0.000652,0.000573,0.000797,0.071944,0.069905,0.070546,0.059462,0.001040,-0.000382,0.001113,-0.001636,-0.001013,-0.001718,-0.000311,0.000270,0.000577,0.001268,0.000503,0.000657,0.076984,0.075081,0.073001,0.064337,0.000378,-0.001000,0.000979,-0.001742,0.000901,-0.000159,0.000262,-0.000494,-0.000598,0.000060,0.000055,0.000996,0.073829,0.076046,0.074096,0.072119,-0.871732,0.637841,0.522096,-0.825185,0.308541,1.023137,-0.162887,0.277239,0.926230,1.145331,0.250400,-0.001986,0.725294,0.639888,0.471644,0.523295,-0.912690,0.634842,0.551782,-0.872620,0.294553,1.007075,-0.151577,0.270619,0.906883,1.183561,0.233584,-0.023849,0.762505,0.633636,0.538974,0.514826,-0.920343,0.645634,0.543820,-0.871563,0.304188,1.015453,-0.121656,0.283427,0.896211,1.182455,0.235155,0.000201,0.787941,0.621785,0.558404,0.509000,0.035863,-0.526528,-0.929407,-0.152160,-0.751441,-0.916291,3.347651,-0.279835,-0.649595,-0.934623,0.143028,-0.934177,-0.999324,-0.925531,-0.629256,0.143323,-0.396257,-0.999110,-0.865299,-0.912121,-0.933807,0.131875,-0.917936,-0.902234,-0.433095,-0.154814,0.045602,-0.009252,-0.142956,0.158149,-0.275394,-0.967862,-0.497870,-0.150134,-0.997070,-0.998440,1.791699,-0.964833,0.084112,-0.218369,-0.018993,-0.713788,-0.995205,-0.147714,-0.727785,-0.093944,-0.790095,-0.854556,-0.801733,-0.997156,-0.331690,-0.900362,0.498381,-0.195604,-0.989565,-0.762805,-0.921560,-0.257506,0.137923,-0.119001,-0.701766,-0.242616,-0.058827,-0.242489
6,10.820000,-0.002367,0.001573,-0.006472,-0.000589,-0.002664,-0.003345,0.002220,-0.000943,0.000468,0.004372,-0.012111,-0.999917,0.004285,-0.011923,-0.999920,0.004147,-0.012043,-0.999919,-0.000000,-0.000000,-0.000000,0.046032,-0.086970,-0.077787,0.038623,0.033405,0.003451,0.019926,0.073960,-0.126911,-0.117025,-0.224130,-0.221847,0.046358,-0.087207,-0.077326,0.037976,0.033238,0.003118,0.019877,0.073937,-0.126778,-0.116815,-0.223956,-0.221573,0.046372,-0.087738,-0.076896,0.037333,0.033636,0.003069,0.020019,0.072998,-0.126990,-0.116783,-0.223933,-0.220774,0.001040,-0.000382,0.001113,-0.001636,-0.001013,-0.001718,-0.000311,0.000270,0.000577,0.001268,0.000503,0.000657,0.076984,0.075081,0.073001,0.064337,0.000378,-0.001000,0.000979,-0.001742,0.000901,-0.000159,0.000262,-0.000494,-0.000598,0.000060,0.000055,0.000996,0.073829,0.076046,0.074096,0.072119,-0.000034,-0.001393,0.001222,-0.001466,0.000741,-0.000157,0.000235,-0.003541,-0.000293,0.000057,0.000318,0.002498,0.069839,0.076720,0.069959,0.081004,-0.912690,0.634842,0.551782,-0.872620,0.294553,1.007075,-0.151577,0.270619,0.906883,1.183561,0.233584,-0.023849,0.762505,0.633636,0.538974,0.514826,-0.920343,0.645634,0.543820,-0.871563,0.304188,1.015453,-0.121656,0.283427,0.896211,1.182455,0.235155,0.000201,0.787941,0.621785,0.558404,0.509000,-0.874195,0.633322,0.480940,-0.879681,0.293776,1.007359,-0.109721,0.259968,0.875399,1.137921,0.245446,0.027458,0.778275,0.608663,0.564644,0.494022,-0.012310,-0.364224,-0.926655,-0.133008,-0.797709,-0.915592,3.846712,-0.263785,-0.654976,-0.933301,0.134942,-0.941673,-0.999240,-0.914127,-0.637236,0.165433,-0.412388,-0.999149,-0.762935,-0.909930,-0.926517,0.209745,-0.911600,-0.887713,-0.432715,-0.155578,0.036241,0.035899,-0.189816,0.146088,-0.272216,-0.964978,-0.484840,-0.128510,-0.997217,-0.998569,1.878193,-0.965500,0.099415,-0.259413,-0.020771,-0.681448,-0.995799,-0.169998,-0.748222,-0.083094,-0.800861,-0.849604,-0.797267,-0.997550,-0.326086,-0.896670,0.460225,-0.161850,-0.991011,-0.764456,-0.921328,-0.283523,0.116528,-0.144321,-0.675931,-0.209137,-0.077683,-0.195534
7,10.840000,-0.000589,-0.002664,-0.003345,0.002220,-0.000943,0.000468,0.001725,0.003169,-0.003121,0.004285,-0.011923,-0.999920,0.004147,-0.012043,-0.999919,0.004290,-0.012200,-0.999916,-0.000000,-0.000000,-0.000000,0.046358,-0.087207,-0.077326,0.037976,0.033238,0.003118,0.019877,0.073937,-0.126778,-0.116815,-0.223956,-0.221573,0.046372,-0.087738,-0.076896,0.037333,0.033636,0.003069,0.020019,0.072998,-0.126990,-0.116783,-0.223933,-0.220774,0.046449,-0.088197,-0.076452,0.036728,0.033703,0.002810,0.020000,0.072718,-0.126951,-0.116697,-0.223520,-0.220585,0.000378,-0.001000,0.000979,-0.001742,0.000901,-0.000159,0.000262,-0.000494,-0.000598,0.000060,0.000055,0.000996,0.073829,0.076046,0.074096,0.072119,-0.000034,-0.001393,0.001222,-0.001466,0.000741,-0.000157,0.000235,-0.003541,-0.000293,0.000057,0.000318,0.002498,0.069839,0.076720,0.069959,0.081004,0.000373,-0.000963,0.000967,-0.001644,-0.000046,-0.000832,-0.000140,0.000056,0.000288,0.000295,0.001360,0.000350,0.070955,0.074711,0.067966,0.066799,-0.920343,0.645634,0.543820,-0.871563,0.304188,1.015453,-0.121656,0.283427,0.896211,1.182455,0.235155,0.000201,0.787941,0.621785,0.558404,0.509000,-0.874195,0.633322,0.480940,-0.879681,0.293776,1.007359,-0.109721,0.259968,0.875399,1.137921,0.245446,0.027458,0.778275,0.608663,0.564644,0.494022,-0.870261,0.643113,0.495865,-0.827668,0.316002,1.025736,-0.164542,0.278821,0.941941,1.110623,0.263017,0.025162,0.735772,0.626295,0.504156,0.509447,0.015493,-0.584850,-0.933274,-0.094726,-0.772839,-0.919866,3.516310,-0.246840,-0.644522,-0.943300,0.466136,-0.936633,-0.999594,-0.930877,-0.633460,0.146365,-0.378648,-0.999177,-0.721898,-0.886880,-0.919097,0.178960,-0.925322,-0.900619,-0.432036,-0.217325,0.082902,-0.024124,-0.111544,0.151453,-0.204991,-0.969075,-0.522523,-0.155470,-0.997277,-0.998492,1.564469,-0.966098,0.111032,-0.305301,-0.015230,-0.697008,-0.995143,-0.104784,-0.825092,-0.112879,-0.831070,-0.863975,-0.795287,-0.998167,-0.389245,-0.917235,0.368702,-0.119155,-0.991692,-0.712048,-0.927045,-0.348159,0.195170,-0.176857,-0.653284,-0.288467,-0.018293,-0.260450
8,10.860000,0.002220,-0.000943,0.000468,0.001725,0.003169,-0.003121,0.003564,0.003616,-0.005709,0.004147,-0.012043,-0.999919,0.004290,-0.012200,-0.999916,0.004593,-0.012412,-0.999912,-0.000000,-0.000000,-0.000000,0.046372,-0.087738,-0.076896,0.037333,0.033636,0.003069,0.020019,0.072998,-0.126990,-0.116783,-0.223933,-0.220774,0.046449,-0.088197,-0.076452,0.036728,0.033703,0.002810,0.020000,0.072718,-0.126951,-0.116697,-0.223520,-0.220585,0.046576,-0.088617,-0.076220,0.035899,0.033415,0.002444,0.019937,0.072775,-0.126705,-0.116526,-0.222934,-0.220390,-0.000034,-0.001393,0.001222,-0.001466,0.000741,-0.000157,0.000235,-0.003541,-0.000293,0.000057,0.000318,0.002498,0.069839,0.076720,0.069959,0.081004,0.000373,-0.000963,0.000967,-0.001644,-0.000046,-0.000832,-0.000140,0.000056,0.000288,0.000295,0.001360,0.000350,0.070955,0.074711,0.067966,0.066799,0.000195,-0.001199,0.000321,-0.002365,-0.001293,-0.000896,-0.000154,0.000077,0.000874,0.000530,0.001453,0.000503,0.077434,0.074225,0.069964,0.066309,-0.874195,0.633322,0.480940,-0.879681,0.293776,1.007359,-0.109721,0.259968,0.875399,1.137921,0.245446,0.027458,0.778275,0.608663,0.564644,0.494022,-0.870261,0.643113,0.495865,-0.827668,0.316002,1.025736,-0.164542,0.278821,0.941941,1.110623,0.263017,0.025162,0.735772,0.626295,0.504156,0.509447,-0.863182,0.636655,0.514787,-0.880014,0.288373,1.036422,-0.159325,0.256540,0.915378,1.122262,0.246091,-0.003332,0.722326,0.646565,0.524727,0.503006,0.054271,-0.418027,-0.916382,-0.125529,-0.767953,-0.919578,3.688126,-0.265454,-0.657957,-0.930324,0.259545,-0.921533,-0.998852,-0.921684,-0.630889,0.127545,-0.342190,-0.998962,-0.714155,-0.893696,-0.931316,0.202698,-0.912339,-0.889886,-0.443460,-0.155292,0.080078,0.081171,-0.141148,0.155866,-0.201834,-0.965021,-0.471861,-0.183977,-0.997169,-0.998464,1.871934,-0.964392,0.139631,-0.222744,-0.005434,-0.686121,-0.995695,-0.134644,-0.662298,-0.127166,-0.812232,-0.822460,-0.787408,-0.997846,-0.237028,-0.906905,0.467566,-0.152557,-0.988675,-0.756584,-0.918890,-0.289784,0.111783,-0.141766,-0.713547,-0.183386,-0.073213,-0.174304
9,10.880000,0.001725,0.003169,-0.003121,0.003564,0.003616,-0.005709,0.002551,-0.001105,-0.004522,0.004290,-0.012200,-0.999916,0.004593,-0.012412,-0.999912,0.004607,-0.012581,-0.999910,-0.000000,-0.000000,-0.000000,0.046449,-0.088197,-0.076452,0.036728,0.033703,0.002810,0.020000,0.072718,-0.126951,-0.116697,-0.223520,-0.220585,0.046576,-0.088617,-0.076220,0.035899,0.033415,0.002444,0.019937,0.072775,-0.126705,-0.116526,-0.222934,-0.220390,0.046703,-0.089000,-0.076001,0.035025,0.033362,0.002777,0.019932,0.072736,-0.126493,-0.116664,-0.222376,-0.219958,0.000373,-0.000963,0.000967,-0.001644,-0.000046,-0.000832,-0.000140,0.000056,0.000288,0.000295,0.001360,0.000350,0.070955,0.074711,0.067966,0.066799,0.000195,-0.001199,0.000321,-0.002365,-0.001293,-0.000896,-0.000154,0.000077,0.000874,0.000530,0.001453,0.000503,0.077434,0.074225,0.069964,0.066309,0.000169,-0.001073,0.000544,-0.002162,0.000898,0.001154,0.000387,-0.000450,-0.000042,-0.000138,0.000816,0.001577,0.072580,0.069463,0.071903,0.069683,-0.870261,0.643113,0.495865,-0.827668,0.316002,1.025736,-0.164542,0.278821,0.941941,1.110623,0.263017,0.025162,0.735772,0.626295,0.504156,0.509447,-0.863182,0.636655,0.514787,-0.880014,0.288373,1.036422,-0.159325,0.256540,0.915378,1.122262,0.246091,-0.003332,0.722326,0.646565,0.524727,0.503006,-0.873986,0.642044,0.525857,-0.886069,0.297050,1.030663,-0.140923,0.275664,0.919453,1.139863,0.242391,-0.007463,0.727414,0.636430,0.526321,0.506884,-0.051359,-0.620403,-0.930292,-0.077359,-0.819534,-0.925242,3.527318,-0.290243,-0.640464,-0.936098,0.294030,-0.938275,-0.999210,-0.924424,-0.643277,0.158564,-0.391838,-0.999111,-0.789926,-0.899029,-0.932232,0.227563,-0.925537,-0.889379,-0.427968,-0.190790,0.059858,0.033965,-0.102252,0.097032,-0.235142,-0.967326,-0.521212,-0.166004,-0.996899,-0.998643,1.788838,-0.964761,0.070437,-0.268700,-0.022402,-0.657681,-0.994922,-0.084504,-0.739156,-0.093883,-0.831194,-0.849584,-0.797920,-0.997642,-0.300280,-0.913798,0.395672,-0.077440,-0.992712,-0.732879,-0.925135,-0.360442,0.182622,-0.136023,-0.667872,-0.241048,-0.027704,-0.199532
10,10.900000,0.003564,0.003616,-0.005709,0.002551,-0.001105,-0.004522,0.002542,0.000750,-0.002311,0.004593,-0.012412,-0.999912,0.004607,-0.012581,-0.999910,0.004618,-0.012795,-0.999907,-0.000000,-0.000000,-0.000000,0.046576,-0.088617,-0.076220,0.035899,0.033415,0.002444,0.019937,0.072775,-0.126705,-0.116526,-0.222934,-0.220390,0.046703,-0.089000,-0.076001,0.035025,0.033362,0.002777,0.019932,0.072736,-0.126493,-0.116664,-0.222376,-0.219958,0.046737,-0.089468,-0.075703,0.034242,0.033530,0.003050,0.020071,0.071903,-0.126508,-0.116613,-0.222194,-0.218841,0.000195,-0.001199,0.000321,-0.002365,-0.001293,-0.000896,-0.000154,0.000077,0.000874,0.000530,0.001453,0.000503,0.077434,0.074225,0.069964,0.066309,0.000169,-0.001073,0.000544,-0.002162,0.000898,0.001154,0.000387,-0.000450,-0.000042,-0.000138,0.000816,0.001577,0.072580,0.069463,0.071903,0.069683,0.000090,-0.001176,0.000871,-0.001855,0.000068,0.000359,0.000180,-0.003050,0.000037,0.000225,0.000503,0.003372,0.072713,0.071134,0.070148,0.074700,-0.863182,0.636655,0.514787,-0.880014,0.288373,1.036422,-0.159325,0.256540,0.915378,1.122262,0.246091,-0.003332,0.722326,0.646565,0.524727,0.503006,-0.873986,0.642044,0.525857,-0.886069,0.297050,1.030663,-0.140923,0.275664,0.919453,1.139863,0.242391,-0.007463,0.727414,0.636430,0.526321,0.506884,-0.859152,0.640914,0.499690,-0.890978,0.285936,1.019723,-0.134023,0.255612,0.916041,1.125023,0.236616,0.000050,0.736278,0.653449,0.520002,0.509355,-0.070428,-0.455854,-0.924473,-0.026080,-0.790207,-0.920943,3.421216,-0.239880,-0.638382,-0.939417,0.370585,-0.936183,-0.998898,-0.933623,-0.648148,0.177468,-0.387294,-0.999277,-0.712982,-0.894770,-0.939301,0.218156,-0.922787,-0.887258,-0.444536,-0.184350,0.049568,-0.012696,-0.079155,0.161811,-0.223822,-0.963921,-0.532537,-0.157409,-0.997115,-0.998569,1.683488,-0.963857,0.098032,-0.271105,0.014606,-0.664103,-0.995429,-0.098800,-0.739019,-0.081429,-0.821965,-0.849027,-0.801785,-0.997720,-0.370315,-0.920825,0.384760,-0.096947,-0.992148,-0.726747,-0.926911,-0.349198,0.173550,-0.168925,-0.639252,-0.259887,-0.050811,-0.232001
