inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015,v0016,v0017,v0018,v0019,v0020,v0021,v0022,v0023,v0024,v0025,v0026,v0027,v0028,v0029,v0030,v0031,v0032,v0033,v0034,v0035,v0036,v0037,v0038,v0039,v0040,v0041,v0042,v0043,v0044,v0045,v0046,v0047,v0048,v0049,v0050,v0051,v0052,v0053,v0054,v0055,v0056,v0057,v0058,v0059,v0060,v0061,v0062,v0063,v0064,v0065,v0066,v0067,v0068,v0069,v0070,v0071,v0072,v0073,v0074,v0075,v0076,v0077,v0078,v0079,v0080,v0081,v0082,v0083,v0084,v0085,v0086,v0087,v0088,v0089,v0090,v0091,v0092,v0093,v0094,v0095,v0096,v0097,v0098,v0099,v0100,v0101,v0102,v0103,v0104,v0105,v0106,v0107,v0108,v0109,v0110,v0111,v0112,v0113,v0114,v0115,v0116,v0117,v0118,v0119,v0120,v0121,v0122,v0123,v0124,v0125,v0126,v0127
1,10.720000,0.010593,-0.058102,-0.021946,-0.016099,0.019235,0.001096,-0.341295,-0.222742,0.263839,0.111114,-0.074275,-0.281495,-0.133997,0.059924,-0.018975,-0.031891,0.087326,-0.380242,0.025362,0.186783,-0.001178,0.050594,-0.173085,-0.057998,-0.252876,0.150628,0.082780,0.031002,0.022100,-0.194076,0.002843,0.033347,-0.244945,-0.060097,0.244869,0.021384,-0.315123,0.406455,0.089257,-0.285820,0.574988,0.288613,0.313536,-0.053357,-0.085174,-0.159462,-0.134795,-0.030232,-0.051208,-0.288121,-0.345226,-0.028723,0.027004,0.007976,0.306128,0.249986,-0.266405,0.084065,0.307544,0.052539,-0.315836,-0.004410,0.197772,0.126726,0.026571,0.137137,0.153272,0.003253,0.208695,-0.090197,0.274851,0.099572,0.177823,-0.221322,-0.014643,0.063220,-0.124879,0.047785,0.022472,-0.102606,0.143200,0.350786,0.205725,0.116612,0.445536,0.449926,-0.209024,-0.363827,0.160898,0.007622,-0.192801,0.018492,-0.183067,-0.055105,0.030527,0.276446,0.275304,-0.363398,0.002942,-0.027579,-0.320743,-0.434707,-0.226573,-0.139164,0.157896,-0.190584,0.161512,-0.122142,0.097194,-0.023293,0.078291,-0.256045,-0.112326,-0.095118,0.109482,0.065005,-0.316105,0.277576,0.007801,0.005063,-0.143947,0.170431,-0.055009,0.236584,0.023361,0.057791,0.064343,0.092332
2,10.740000,0.008169,-0.058201,-0.021216,-0.019345,0.016980,0.001057,-0.341548,-0.226587,0.265554,0.112441,-0.076982,-0.283124,-0.133665,0.055575,-0.019133,-0.032001,0.088390,-0.380775,0.025989,0.185837,-0.001967,0.049572,-0.172916,-0.056881,-0.253599,0.147510,0.083949,0.029536,0.020672,-0.190956,0.004725,0.028641,-0.245201,-0.059213,0.244181,0.021347,-0.312421,0.406266,0.090461,-0.282239,0.572571,0.288563,0.311564,-0.054457,-0.086976,-0.158156,-0.135296,-0.027614,-0.051019,-0.286283,-0.344282,-0.030833,0.027226,0.008023,0.305759,0.248576,-0.266003,0.082788,0.306925,0.054375,-0.316548,0.002688,0.197340,0.127027,0.026985,0.135385,0.154024,0.003190,0.201768,-0.089825,0.271547,0.098046,0.176951,-0.223019,-0.013318,0.062809,-0.125849,0.047422,0.022499,-0.101155,0.142074,0.350900,0.204459,0.115443,0.447606,0.446500,-0.209285,-0.362468,0.159722,0.007859,-0.193265,0.018701,-0.183086,-0.054718,0.030543,0.272467,0.272865,-0.363916,0.002642,-0.029398,-0.319129,-0.435748,-0.224958,-0.143487,0.158033,-0.190963,0.157433,-0.121632,0.098933,-0.022143,0.077536,-0.255411,-0.114325,-0.093638,0.107233,0.064255,-0.313736,0.275734,0.007657,0.005701,-0.142203,0.174711,-0.055825,0.237296,0.021009,0.056750,0.063514,0.092928
3,10.760000,0.009173,-0.057709,-0.024422,-0.014405,0.020374,0.001209,-0.342733,-0.225374,0.264561,0.112486,-0.075161,-0.282796,-0.133968,0.059151,-0.018905,-0.032411,0.092197,-0.380043,0.025163,0.187161,-0.001865,0.049563,-0.175555,-0.057080,-0.252612,0.149351,0.083511,0.030854,0.023612,-0.195736,0.004092,0.033838,-0.244140,-0.059733,0.243569,0.019509,-0.318329,0.405145,0.090151,-0.285713,0.577279,0.285850,0.311274,-0.055674,-0.075629,-0.164113,-0.136997,-0.038253,-0.052134,-0.286546,-0.346327,-0.029801,0.024584,0.007784,0.310387,0.252183,-0.265526,0.084383,0.309616,0.049848,-0.314837,0.004562,0.199238,0.128085,0.027060,0.139922,0.152181,0.003467,0.215276,-0.090939,0.277002,0.099275,0.180922,-0.222158,-0.017614,0.061681,-0.125865,0.047826,0.021860,-0.103085,0.147117,0.354076,0.204222,0.117700,0.449284,0.450615,-0.209208,-0.366615,0.158506,0.007523,-0.194776,0.017319,-0.184358,-0.054413,0.031609,0.277621,0.268179,-0.361990,0.002839,-0.021703,-0.319340,-0.433386,-0.229357,-0.130924,0.157656,-0.191603,0.163067,-0.120312,0.098534,-0.023593,0.078579,-0.256420,-0.114528,-0.094798,0.112157,0.067313,-0.316995,0.279009,0.007569,0.002041,-0.146534,0.164849,-0.057490,0.232999,0.020603,0.057790,0.063195,0.092264
4,10.780000,0.009252,-0.057404,-0.023248,-0.014436,0.020276,0.001242,-0.342675,-0.224450,0.263945,0.112912,-0.075524,-0.281997,-0.134607,0.057736,-0.017692,-0.031963,0.091927,-0.381072,0.024694,0.186621,-0.001031,0.049712,-0.174662,-0.058155,-0.253161,0.152161,0.083390,0.030876,0.023366,-0.195205,0.004393,0.035357,-0.244163,-0.059538,0.244961,0.019914,-0.316888,0.404056,0.090175,-0.283782,0.576377,0.285742,0.312603,-0.056433,-0.081978,-0.161368,-0.135904,-0.032741,-0.051940,-0.286905,-0.344003,-0.029018,0.023096,0.007672,0.308852,0.253336,-0.263824,0.085427,0.307448,0.051436,-0.314810,0.003518,0.197958,0.127971,0.026879,0.140089,0.152745,0.003443,0.216555,-0.092976,0.277777,0.098322,0.179691,-0.222659,-0.018030,0.062142,-0.126054,0.048153,0.021648,-0.103102,0.147463,0.353565,0.204471,0.117088,0.450780,0.452576,-0.208913,-0.367575,0.161285,0.007451,-0.194302,0.016509,-0.184335,-0.055429,0.031927,0.276812,0.270908,-0.359923,0.002853,-0.023851,-0.319964,-0.435189,-0.228588,-0.133430,0.157520,-0.191026,0.164072,-0.121303,0.099660,-0.023884,0.078351,-0.256858,-0.113852,-0.095867,0.111971,0.067306,-0.315687,0.279470,0.007311,0.000261,-0.146297,0.168253,-0.058577,0.234251,0.020198,0.058501,0.063546,0.093290
5,10.800000,0.012985,-0.057882,-0.021695,-0.013648,0.024644,0.001409,-0.345008,-0.218843,0.263172,0.109301,-0.073033,-0.275362,-0.132537,0.062926,-0.019726,-0.031475,0.091110,-0.378012,0.024476,0.186803,-0.002225,0.047861,-0.173012,-0.055785,-0.253407,0.153955,0.081231,0.032441,0.022223,-0.196098,0.002634,0.035117,-0.243763,-0.058895,0.246817,0.021286,-0.316036,0.405511,0.090119,-0.289617,0.577080,0.287677,0.314337,-0.053111,-0.085757,-0.165666,-0.134159,-0.029667,-0.052096,-0.289719,-0.345185,-0.031747,0.022860,0.008362,0.303890,0.251729,-0.264649,0.087152,0.307101,0.050812,-0.314344,-0.018465,0.197003,0.124035,0.025138,0.143076,0.155298,0.003556,0.227762,-0.092516,0.279352,0.098082,0.180246,-0.220669,-0.014986,0.060495,-0.122389,0.049104,0.021503,-0.103348,0.148594,0.355477,0.203639,0.117051,0.443272,0.453898,-0.205277,-0.366675,0.158423,0.007285,-0.194119,0.015958,-0.184557,-0.055679,0.030772,0.280923,0.269700,-0.361477,0.003613,-0.027064,-0.322350,-0.432801,-0.229018,-0.137059,0.158196,-0.190868,0.167687,-0.119058,0.097065,-0.024812,0.080575,-0.257129,-0.108222,-0.094041,0.111269,0.064537,-0.316409,0.279834,0.007165,-0.001202,-0.144655,0.167577,-0.056657,0.235465,0.019897,0.060911,0.065067,0.092614
6,10.820000,0.008990,-0.058959,-0.017739,-0.015671,0.018483,0.001201,-0.345474,-0.226264,0.265801,0.112950,-0.075360,-0.279419,-0.131451,0.054909,-0.019634,-0.031969,0.091216,-0.378791,0.025619,0.187061,-0.001444,0.050770,-0.173194,-0.056168,-0.257973,0.149884,0.081073,0.030288,0.020061,-0.191115,0.006270,0.029783,-0.243123,-0.057298,0.241892,0.020354,-0.310604,0.404803,0.092003,-0.281862,0.570290,0.290324,0.311796,-0.056364,-0.088892,-0.163209,-0.134075,-0.026453,-0.051125,-0.287905,-0.343742,-0.031851,0.024071,0.007341,0.305449,0.250500,-0.265624,0.083164,0.306946,0.053346,-0.316695,0.005002,0.196445,0.124329,0.025896,0.137837,0.156724,0.003260,0.209254,-0.093826,0.274076,0.098075,0.178726,-0.222632,-0.012697,0.060485,-0.125685,0.047512,0.021467,-0.101001,0.144994,0.352597,0.203074,0.116625,0.447763,0.449688,-0.207104,-0.366598,0.160459,0.007777,-0.193275,0.017123,-0.187971,-0.051015,0.030955,0.274435,0.274004,-0.361651,0.002856,-0.028276,-0.319465,-0.438939,-0.228491,-0.145900,0.157645,-0.193124,0.159612,-0.121396,0.094908,-0.021990,0.078185,-0.253828,-0.113528,-0.093587,0.107576,0.062920,-0.313245,0.279254,0.007381,0.001833,-0.144426,0.175630,-0.055733,0.237010,0.019868,0.058409,0.062556,0.094027
7,10.840000,0.010745,-0.058969,-0.018480,-0.015659,0.023403,0.001414,-0.341994,-0.223282,0.262268,0.111054,-0.074205,-0.276682,-0.132563,0.061695,-0.020605,-0.032663,0.090963,-0.378457,0.024325,0.185144,-0.002458,0.050209,-0.171745,-0.055221,-0.253215,0.149211,0.082395,0.032719,0.022928,-0.195319,0.004529,0.030942,-0.242631,-0.058945,0.245996,0.020009,-0.318204,0.405841,0.088854,-0.290949,0.577776,0.289315,0.311292,-0.056048,-0.084154,-0.163812,-0.135835,-0.032992,-0.052226,-0.287938,-0.347273,-0.032571,0.023296,0.008931,0.308063,0.255112,-0.265778,0.088498,0.309101,0.052973,-0.315451,-0.008076,0.196173,0.125668,0.025453,0.143351,0.153003,0.003531,0.216078,-0.092234,0.276951,0.100420,0.180677,-0.220558,-0.013106,0.061024,-0.123548,0.049468,0.021779,-0.103460,0.145873,0.352961,0.204560,0.117116,0.444611,0.454123,-0.207073,-0.368791,0.156704,0.007177,-0.195789,0.015700,-0.187987,-0.051742,0.031073,0.278617,0.267677,-0.365314,0.003274,-0.025604,-0.322176,-0.433739,-0.229028,-0.139358,0.158888,-0.191850,0.165384,-0.118526,0.099573,-0.023956,0.081670,-0.255301,-0.110098,-0.094987,0.111570,0.065784,-0.314636,0.280302,0.007106,0.000273,-0.144795,0.164393,-0.055578,0.237543,0.020216,0.058970,0.064885,0.091915
8,10.860000,0.009801,-0.057334,-0.019617,-0.014250,0.019660,0.001268,-0.341921,-0.224648,0.264377,0.114010,-0.078541,-0.278380,-0.134334,0.057496,-0.020122,-0.032911,0.091740,-0.380528,0.024327,0.186977,-0.002727,0.048804,-0.173406,-0.056681,-0.254017,0.148308,0.082120,0.031719,0.021261,-0.191926,0.005099,0.032794,-0.241898,-0.059075,0.245962,0.019244,-0.313947,0.404289,0.090199,-0.282121,0.574678,0.291444,0.310845,-0.055578,-0.087572,-0.161379,-0.136340,-0.028892,-0.051732,-0.289073,-0.345171,-0.034208,0.024480,0.008118,0.305431,0.251007,-0.263758,0.086365,0.306388,0.056620,-0.314451,0.002143,0.195839,0.126660,0.026560,0.139595,0.153453,0.003282,0.213151,-0.092975,0.273545,0.098089,0.180407,-0.223490,-0.016504,0.061094,-0.126402,0.048218,0.021629,-0.101828,0.143657,0.352959,0.205622,0.119319,0.448040,0.451235,-0.206860,-0.367812,0.160698,0.007726,-0.193465,0.015767,-0.187894,-0.052341,0.030274,0.273037,0.271312,-0.361986,0.002999,-0.031611,-0.319634,-0.436519,-0.227110,-0.138754,0.157800,-0.190282,0.160833,-0.119865,0.100846,-0.022622,0.078388,-0.255479,-0.111907,-0.093834,0.111055,0.065588,-0.312088,0.280328,0.007110,0.001782,-0.144243,0.167279,-0.057715,0.238694,0.019316,0.056133,0.062779,0.094254
9,10.880000,0.012019,-0.058203,-0.019234,-0.016439,0.023422,0.001264,-0.343798,-0.220966,0.260609,0.110948,-0.076292,-0.278196,-0.133458,0.062568,-0.019011,-0.032348,0.089682,-0.379509,0.024240,0.186566,-0.002388,0.047794,-0.171977,-0.057910,-0.252727,0.151770,0.080672,0.031811,0.022528,-0.196640,0.003765,0.037038,-0.244300,-0.059675,0.246211,0.020405,-0.318264,0.407044,0.089136,-0.287749,0.577313,0.287739,0.313539,-0.054651,-0.085469,-0.163124,-0.136368,-0.031179,-0.050281,-0.287303,-0.346218,-0.032215,0.023951,0.008491,0.307940,0.252500,-0.265483,0.086740,0.306522,0.055649,-0.315623,-0.013761,0.196940,0.124971,0.025577,0.142560,0.153279,0.003388,0.217323,-0.091078,0.278904,0.099931,0.181539,-0.220947,-0.014252,0.058909,-0.123214,0.048558,0.022067,-0.102554,0.146407,0.352703,0.202455,0.119410,0.444484,0.452802,-0.205905,-0.365965,0.159714,0.007186,-0.195634,0.015590,-0.189552,-0.053566,0.030439,0.278367,0.272577,-0.364634,0.003050,-0.028715,-0.323144,-0.435869,-0.227644,-0.141742,0.160372,-0.191832,0.166088,-0.120116,0.098711,-0.023854,0.080214,-0.257399,-0.109335,-0.095621,0.112105,0.067812,-0.314485,0.280228,0.007030,0.000832,-0.142255,0.165363,-0.054724,0.238777,0.020901,0.058793,0.064888,0.092058
10,10.900000,0.011645,-0.057347,-0.017607,-0.016254,0.022996,0.001236,-0.343894,-0.220377,0.258108,0.111617,-0.076020,-0.278809,-0.132016,0.061822,-0.018734,-0.033156,0.090399,-0.379540,0.024115,0.187505,-0.001520,0.049533,-0.174983,-0.055590,-0.253103,0.149322,0.080220,0.033060,0.022575,-0.197734,0.003629,0.037753,-0.242119,-0.058218,0.248456,0.020718,-0.315371,0.405475,0.089487,-0.290108,0.577110,0.285974,0.313285,-0.055221,-0.087193,-0.163632,-0.135332,-0.030731,-0.050391,-0.290997,-0.346171,-0.032951,0.024626,0.009051,0.308120,0.253762,-0.267385,0.087089,0.309096,0.054522,-0.317266,-0.008130,0.196635,0.125250,0.026197,0.144725,0.153488,0.003545,0.219843,-0.091686,0.278083,0.101851,0.183980,-0.221879,-0.013826,0.057777,-0.125401,0.048467,0.021663,-0.102418,0.148508,0.353678,0.202988,0.119841,0.444544,0.456261,-0.206344,-0.369174,0.158798,0.007408,-0.195489,0.014689,-0.190618,-0.051940,0.031514,0.278985,0.273358,-0.363465,0.003199,-0.029224,-0.323353,-0.434292,-0.228108,-0.139751,0.160013,-0.194520,0.169027,-0.120459,0.098534,-0.024613,0.082232,-0.257187,-0.111315,-0.095001,0.112702,0.068671,-0.314823,0.283492,0.006979,0.000990,-0.145215,0.167010,-0.053341,0.238806,0.018621,0.058724,0.064605,0.093288
