inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
1,10.720000,3,-0.000000,-0.000000,-0.000000
2,10.740000,3,-0.000000,-0.000000,-0.000000
3,10.760000,3,-0.000000,-0.000000,-0.000000
4,10.780000,3,-0.000000,-0.000000,-0.000000
5,10.800000,3,-0.000000,-0.000000,-0.000000
6,10.820000,3,-0.000000,-0.000000,-0.000000
7,10.840000,3,-0.000000,-0.000000,-0.000000
8,10.860000,3,-0.000000,-0.000000,-0.000000
9,10.880000,3,-0.000000,-0.000000,-0.000000
10,10.900000,3,-0.000000,-0.000000,-0.000000
11,10.920000,3,-0.000000,-0.000000,-0.000000
12,10.940000,3,-0.000000,-0.000000,-0.000000
13,10.960000,3,-0.000000,-0.000000,-0.000000
14,10.980000,3,-0.000000,-0.000000,-0.000000
15,11.000000,3,-0.000000,-0.000000,-0.000000
16,11.020000,3,-0.000000,-0.000000,-0.000000
17,11.040000,3,-0.000000,-0.000000,-0.000000
18,11.060000,3,-0.000000,-0.000000,-0.000000
19,11.080000,3,-0.000000,-0.000000,-0.000000
20,11.100000,3,-0.000000,-0.000000,-0.000000
21,11.120000,3,-0.000000,-0.000000,-0.000000
22,11.140000,3,0.045808,-0.000000,-0.000000
23,11.160000,3,0.154180,-0.001862,-0.000000
24,11.180000,3,0.313242,-0.003754,-0.000000
25,11.200000,3,0.481918,-0.004730,-0.000000
26,11.220000,3,0.707877,0.022736,-0.000000
27,11.240000,3,0.969146,0.121921,-0.000000
28,11.260000,3,1.000000,0.158055,-0.000000
29,11.280000,3,1.000000,0.125675,-0.000000
30,11.300000,3,1.000000,0.082430,-0.000000
31,11.320000,3,1.000000,0.078616,-0.000000
32,11.340000,3,1.000000,0.078005,-0.000000
33,11.360000,3,1.000000,0.077425,-0.000000
34,11.380000,3,1.000000,0.057619,-0.000000
35,11.400000,3,1.000000,-0.027619,-0.000000
36,11.420000,3,1.000000,-0.078982,-0.000000
37,11.440000,3,1.000000,-0.125645,-0.000000
38,11.460000,3,1.000000,-0.142186,-0.000000
39,11.480000,3,1.000000,-0.147038,-0.000000
40,11.500000,3,1.000000,-0.150365,-0.000000
41,11.520000,3,1.000000,-0.152623,-0.000000
