inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
1,10.720000,-0.884091,0.632890,0.516749,-0.851166,0.306933,1.017743,-0.145805,0.264437,0.895681,1.169269,0.242519,0.000827,0.740588,0.624254,0.506749,0.520036
2,10.740000,-0.871732,0.637841,0.522096,-0.825185,0.308541,1.023137,-0.162887,0.277239,0.926230,1.145331,0.250400,-0.001986,0.725294,0.639888,0.471644,0.523295
3,10.760000,-0.912690,0.634842,0.551782,-0.872620,0.294553,1.007075,-0.151577,0.270619,0.906883,1.183561,0.233584,-0.023849,0.762505,0.633636,0.538974,0.514826
4,10.780000,-0.920343,0.645634,0.543820,-0.871563,0.304188,1.015453,-0.121656,0.283427,0.896211,1.182455,0.235155,0.000201,0.787941,0.621785,0.558404,0.509000
5,10.800000,-0.874195,0.633322,0.480940,-0.879681,0.293776,1.007359,-0.109721,0.259968,0.875399,1.137921,0.245446,0.027458,0.778275,0.608663,0.564644,0.494022
6,10.820000,-0.870261,0.643113,0.495865,-0.827668,0.316002,1.025736,-0.164542,0.278821,0.941941,1.110623,0.263017,0.025162,0.735772,0.626295,0.504156,0.509447
7,10.840000,-0.863182,0.636655,0.514787,-0.880014,0.288373,1.036422,-0.159325,0.256540,0.915378,1.122262,0.246091,-0.003332,0.722326,0.646565,0.524727,0.503006
8,10.860000,-0.873986,0.642044,0.525857,-0.886069,0.297050,1.030663,-0.140923,0.275664,0.919453,1.139863,0.242391,-0.007463,0.727414,0.636430,0.526321,0.506884
9,10.880000,-0.859152,0.640914,0.499690,-0.890978,0.285936,1.019723,-0.134023,0.255612,0.916041,1.125023,0.236616,0.000050,0.736278,0.653449,0.520002,0.509355
10,10.900000,-0.854639,0.640721,0.486556,-0.864581,0.297089,1.032977,-0.138942,0.250680,0.926694,1.104218,0.247178,0.007545,0.728250,0.673303,0.509930,0.516657
11,10.920000,-0.861675,0.647478,0.530849,-0.873036,0.296010,1.054860,-0.140582,0.247207,0.909041,1.104280,0.234328,0.003533,0.721730,0.662885,0.515042,0.515940
12,10.940000,-0.881545,0.642856,0.557147,-0.892295,0.294300,1.032961,-0.117920,0.255409,0.895338,1.105244,0.226813,0.007327,0.743430,0.651566,0.539251,0.517196
13,10.960000,-0.877760,0.637569,0.533915,-0.876310,0.299449,1.021235,-0.118218,0.252268,0.905703,1.100848,0.232301,0.030935,0.760790,0.653312,0.518822,0.525583
14,10.980000,-0.884890,0.637930,0.538222,-0.852942,0.304646,1.028595,-0.137276,0.282342,0.960567,1.090261,0.238048,0.008244,0.754500,0.655457,0.507315,0.547328
15,11.000000,-0.877900,0.634531,0.550350,-0.876490,0.290622,1.047050,-0.131990,0.277718,0.937137,1.093938,0.235951,-0.002357,0.743440,0.635246,0.504687,0.539196
16,11.020000,-0.872173,0.640144,0.542878,-0.924503,0.279703,1.039060,-0.093606,0.262958,0.910857,1.105060,0.224995,-0.003049,0.744701,0.626514,0.546677,0.516289
17,11.040000,-0.869232,0.648384,0.535411,-0.914160,0.283308,1.014831,-0.083816,0.277775,0.936910,1.086700,0.237170,0.022118,0.749038,0.629317,0.537041,0.522999
18,11.060000,-0.834166,0.634191,0.516659,-0.902790,0.278174,1.047582,-0.109958,0.257289,0.945781,1.070368,0.235823,0.001808,0.712150,0.631389,0.506762,0.512531
19,11.080000,-0.860426,0.632431,0.545028,-0.900662,0.282719,1.056679,-0.116877,0.255637,0.944484,1.081220,0.231195,-0.004915,0.715063,0.645400,0.516509,0.513487
20,11.100000,-0.868752,0.628588,0.538664,-0.917154,0.269198,1.057395,-0.075573,0.255376,0.919048,1.080538,0.220362,-0.006080,0.725970,0.640049,0.537399,0.501749
21,11.120000,-0.867527,0.636202,0.519877,-0.894570,0.277865,1.066672,-0.067665,0.251449,0.927428,1.061943,0.224987,0.008102,0.734525,0.648142,0.533859,0.513600
22,11.140000,-0.879580,0.669628,0.500703,-0.891741,0.309340,1.029351,-0.087551,0.273850,1.015502,1.041000,0.274044,0.045979,0.847231,0.822546,0.644911,0.693943
23,11.160000,-0.966153,0.728599,0.431756,-0.944520,0.382328,0.881985,-0.062040,0.370161,1.235009,1.041648,0.391069,0.201965,1.271078,1.245434,1.088254,1.146597
24,11.180000,-1.078943,0.856600,0.276745,-1.077941,0.512565,0.643614,-0.007271,0.587632,1.691087,1.086345,0.617885,0.522720,2.032565,1.876583,1.832530,1.858378
25,11.200000,-1.104791,1.004494,0.042746,-1.274088,0.675346,0.436709,-0.019522,0.846303,2.326553,1.151551,0.911329,1.016035,2.773653,2.535003,2.651940,2.502819
26,11.220000,-1.057528,0.994320,-0.228655,-1.673338,0.713444,0.333395,-0.092489,1.204342,2.997988,1.302305,1.024289,1.181185,3.281832,2.988480,3.460462,2.881840
27,11.240000,-0.914782,0.823996,-0.582418,-2.363503,0.776096,0.403210,-0.376803,1.566562,3.726055,1.695104,1.258948,1.408469,3.418345,3.081473,4.137455,2.888439
28,11.260000,-0.730339,0.509130,-0.905968,-2.841954,0.776373,0.401633,-0.635506,1.914529,3.971808,2.015980,1.162294,1.276847,3.301979,2.733809,4.187725,2.380804
29,11.280000,-0.597601,0.398405,-0.961246,-2.861878,0.827187,0.450031,-0.641570,1.879552,3.828820,2.055490,1.007440,1.317250,3.128400,2.480338,3.967900,1.802639
30,11.300000,-0.694021,0.409910,-0.911204,-2.592616,0.832598,0.343629,-0.652334,1.976999,3.835363,1.817861,0.866355,1.372857,3.101876,2.375479,3.714108,1.503083
31,11.320000,-0.727485,0.513075,-0.751193,-1.993488,0.748125,0.234728,-0.779026,1.888515,3.656073,1.241399,0.715952,1.355901,3.192180,2.395680,3.486667,1.500730
32,11.340000,-0.685210,0.310393,-0.592435,-0.941996,0.691493,0.251359,-0.945790,1.446492,2.879380,0.412597,0.846239,1.735617,3.110445,2.336613,3.225573,1.468399
33,11.360000,-0.901164,0.449322,-0.350327,0.353972,0.670426,0.028504,-0.903153,1.498863,2.736129,-0.903131,1.016454,2.154408,3.204148,2.498448,3.061378,1.758197
34,11.380000,-0.968497,0.408476,-0.239707,1.524207,0.436786,-0.161122,-0.575237,1.443246,2.207342,-2.327903,1.165366,2.466846,3.320755,2.328877,3.212659,2.112971
35,11.400000,-0.581571,0.360757,-0.247186,2.107355,0.330101,-0.015626,0.034811,1.235194,1.447924,-3.334234,1.408915,3.046020,3.403023,2.140950,3.362644,2.598608
36,11.420000,-0.118535,0.261131,-0.227402,2.181777,0.168959,0.130885,0.457389,0.963094,0.774968,-3.590871,1.473069,3.215451,3.453597,2.102432,3.560589,3.126535
37,11.440000,0.221314,0.244685,-0.332635,1.548674,0.249405,0.313282,0.728399,1.248146,1.106057,-3.062634,1.498354,3.443450,3.413558,2.352267,3.188099,3.673458
38,11.460000,0.184936,0.300896,-0.498070,0.724497,0.568274,0.684976,0.717250,1.282187,1.802324,-1.812471,1.512049,3.468443,3.329370,2.730403,2.535765,4.012111
