inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
644,10.980000,3,-0.000000,-0.000000,-0.000000
645,11.000000,3,-0.000000,-0.000000,-0.000000
646,11.020000,3,-0.000000,-0.000000,-0.000000
647,11.040000,3,-0.000000,-0.000000,-0.000000
648,11.060000,3,-0.000000,-0.000000,-0.000000
649,11.080000,3,-0.000000,-0.000000,-0.000000
650,11.100000,3,-0.000000,-0.000000,-0.000000
651,11.120000,3,-0.000000,-0.000000,-0.000000
652,11.140000,3,-0.000000,-0.000000,-0.000000
653,11.160000,3,-0.000000,-0.000000,-0.000000
654,11.180000,3,-0.000000,-0.000000,-0.000000
655,11.200000,3,-0.000000,-0.000000,-0.000000
656,11.220000,3,-0.000000,-0.000000,-0.000000
657,11.240000,3,-0.000000,-0.000000,-0.000000
658,11.260000,3,-0.000000,-0.000000,-0.000000
659,11.280000,3,-0.000000,-0.000000,-0.000000
660,11.300000,3,-0.000000,-0.000000,-0.000000
661,11.320000,3,-0.000000,-0.000000,-0.000000
662,11.340000,3,-0.000000,-0.000000,-0.000000
663,11.360000,3,-0.000000,-0.000000,-0.000000
664,11.380000,3,-0.000000,-0.000000,-0.000000
665,11.400000,3,-0.000000,-0.000000,-0.000000
666,11.420000,3,-0.000000,-0.000000,-0.000000
667,11.440000,3,-0.000000,-0.000000,-0.000000
668,11.460000,3,-0.000000,-0.000000,-0.000000
669,11.480000,3,-0.000000,-0.000000,-0.000000
670,11.500000,3,-0.000000,-0.000000,-0.000000
671,11.520000,3,-0.000000,-0.000000,-0.000000
672,11.540000,3,-0.000000,-0.000000,-0.000000
673,11.560000,3,-0.000000,-0.000000,-0.000000
674,11.580000,3,-0.000000,-0.000000,-0.000000
675,11.600000,3,-0.000000,-0.000000,-0.000000
676,11.620000,3,-0.000000,-0.000000,-0.000000
677,11.640000,3,-0.000000,-0.000000,-0.000000
678,11.660000,3,0.008332,-0.000000,-0.000000
679,11.680000,3,0.039766,-0.000000,-0.000000
680,11.700000,3,0.071261,-0.005127,-0.000000
681,11.720000,3,0.145177,-0.013459,-0.000000
682,11.740000,3,0.211402,-0.024232,-0.000000
683,11.760000,3,0.275033,-0.035920,-0.000000
684,11.780000,3,0.315806,-0.042451,-0.000000
685,11.800000,3,0.347575,-0.045534,-0.000000
686,11.820000,3,0.387219,-0.048067,-0.000000
687,11.840000,3,0.423597,-0.050508,-0.000000
688,11.860000,3,0.444563,-0.051790,-0.000000
689,11.880000,3,0.467330,-0.052919,-0.000000
690,11.900000,3,0.480941,-0.053529,-0.000000
691,11.920000,3,0.502335,-0.055208,-0.000000
692,11.940000,3,0.516465,-0.057741,-0.000000
693,11.960000,3,0.530717,-0.062044,-0.000000
694,11.980000,3,0.552141,-0.063845,-0.000000
695,12.000000,3,0.579455,-0.065615,-0.000000
696,12.020000,3,0.599719,-0.066378,-0.000000
697,12.040000,3,0.618030,-0.066927,-0.000000
698,12.060000,3,0.631336,-0.067537,-0.000000
699,12.080000,3,0.643605,-0.068148,-0.000000
700,12.100000,3,0.655599,-0.069063,-0.000000
701,12.120000,3,0.668386,-0.069460,-0.000000
702,12.140000,3,0.681845,-0.069704,-0.000000
703,12.160000,3,0.698141,-0.070009,-0.000000
704,12.180000,3,0.706473,-0.070193,-0.000000
705,12.200000,3,0.715567,-0.070345,-0.000000
706,12.220000,3,0.728080,-0.070864,-0.000000
707,12.240000,3,0.742882,-0.070925,-0.000000
708,12.260000,3,0.763024,-0.071535,-0.000000
709,12.280000,3,0.779626,-0.071535,-0.000000
710,12.300000,3,0.785607,-0.071596,-0.000000
711,12.320000,3,0.787896,-0.072085,-0.000000
712,12.340000,3,0.788629,-0.072329,-0.000000
713,12.360000,3,0.790551,-0.072054,-0.000000
714,12.380000,3,0.796045,-0.072054,-0.000000
715,12.400000,3,0.804254,-0.072970,-0.000000
716,12.420000,3,0.812555,-0.075503,-0.000000
717,12.440000,3,0.825709,-0.079226,-0.000000
718,12.460000,3,0.841304,-0.081118,-0.000000
719,12.480000,3,0.864315,-0.082492,-0.000000
720,12.500000,3,0.891507,-0.083712,-0.000000
721,12.520000,3,0.912564,-0.085879,-0.000000
722,12.540000,3,0.925779,-0.091891,-0.000000
723,12.560000,3,0.938322,-0.101657,-0.000000
724,12.580000,3,0.951781,-0.110385,-0.000000
725,12.600000,3,0.963103,-0.113529,-0.000000
726,12.620000,3,0.976501,-0.115574,-0.000000
727,12.640000,3,0.999390,-0.116977,-0.000000
728,12.660000,3,1.000000,-0.117618,-0.000000
729,12.680000,3,1.000000,-0.118839,-0.000000
730,12.700000,3,1.000000,-0.119449,-0.000000
731,12.720000,3,1.000000,-0.119602,-0.000000
732,12.740000,3,1.000000,-0.123417,-0.000000
733,12.760000,3,1.000000,-0.131993,-0.000000
734,12.780000,3,1.000000,-0.147771,-0.000000
735,12.800000,3,1.000000,-0.163213,-0.000000
736,12.820000,3,1.000000,-0.168279,-0.000000
737,12.840000,3,1.000000,-0.169469,-0.000000
738,12.860000,3,1.000000,-0.169530,-0.000000
739,12.880000,3,1.000000,-0.169652,-0.000000
740,12.900000,3,1.000000,-0.169652,-0.000000
741,12.920000,3,1.000000,-0.169652,-0.000000
742,12.940000,3,1.000000,-0.169652,-0.000000
743,12.960000,3,1.000000,-0.169958,-0.000000
744,12.980000,3,1.000000,-0.170629,-0.000000
745,13.000000,3,1.000000,-0.170629,-0.000000
746,13.020000,3,1.000000,-0.170324,-0.000000
747,13.040000,3,1.000000,-0.169988,-0.000000
