inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
677,11.640000,-0.386783,1.608007,-0.757314,0.113458,1.128900,-1.391223,-0.005875,0.771922,-0.973679,-0.662618,0.895330,-0.433795,1.260682,0.619418,0.437570,0.896370
678,11.660000,-0.370922,1.648925,-0.684070,0.124655,1.149292,-1.375917,0.029872,0.796286,-0.939487,-0.667311,0.909215,-0.364948,1.325292,0.657032,0.573091,0.957061
679,11.680000,-0.398635,1.703253,-0.717972,0.184189,1.175935,-1.385627,0.088686,0.867307,-0.855812,-0.667836,0.976104,-0.292913,1.496245,0.765558,0.800394,1.111793
680,11.700000,-0.436425,1.725582,-0.767894,0.211044,1.192776,-1.431265,0.134532,0.934872,-0.773334,-0.632173,1.037736,-0.224970,1.705045,0.881966,1.093706,1.291975
681,11.720000,-0.488642,1.814659,-0.828192,0.285225,1.238299,-1.457895,0.270434,1.054169,-0.508389,-0.741023,1.167807,0.020046,2.010870,1.092472,1.453783,1.590624
682,11.740000,-0.524152,1.765689,-0.955555,0.330827,1.192371,-1.540512,0.375146,1.144631,-0.235546,-0.876726,1.209167,0.203725,2.202427,1.222316,1.681211,1.726097
683,11.760000,-0.628638,1.812935,-1.062456,0.442266,1.162703,-1.639020,0.486765,1.216634,-0.027109,-1.024848,1.161040,0.117764,2.338616,1.285803,1.835185,1.670134
684,11.780000,-0.607342,1.871605,-0.962593,0.463844,1.199781,-1.614935,0.563789,1.315932,0.288883,-1.218754,1.306616,0.467453,2.599967,1.441936,1.966734,1.856192
685,11.800000,-0.590007,1.895212,-0.904907,0.474705,1.152057,-1.615865,0.641375,1.413671,0.588536,-1.353351,1.391655,0.635829,2.888033,1.490765,2.000953,1.918866
686,11.820000,-0.589136,1.876738,-0.897571,0.516089,1.137738,-1.625437,0.646151,1.441161,0.703092,-1.414474,1.378719,0.704471,3.127163,1.488628,2.001261,1.910264
687,11.840000,-0.528762,1.801576,-0.842604,0.500710,1.111138,-1.575876,0.607676,1.456690,0.746279,-1.408820,1.327354,0.697839,3.246929,1.499497,2.005510,1.857679
688,11.860000,-0.493810,1.858307,-0.769768,0.524137,1.111384,-1.539056,0.560558,1.366765,0.727965,-1.472185,1.318858,0.715182,3.276307,1.578719,1.942380,1.873782
689,11.880000,-0.437746,1.829122,-0.727673,0.490144,1.034944,-1.493342,0.483872,1.301787,0.545580,-1.443440,1.208585,0.546643,3.288171,1.639940,1.932687,1.862511
