inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015,v0016,v0017,v0018,v0019,v0020,v0021,v0022,v0023,v0024,v0025,v0026,v0027,v0028,v0029,v0030,v0031,v0032,v0033,v0034,v0035,v0036,v0037,v0038,v0039,v0040,v0041,v0042,v0043,v0044,v0045,v0046,v0047,v0048,v0049,v0050,v0051,v0052,v0053,v0054,v0055,v0056,v0057,v0058,v0059,v0060,v0061,v0062,v0063,v0064,v0065,v0066,v0067,v0068,v0069,v0070,v0071,v0072,v0073,v0074,v0075,v0076,v0077,v0078,v0079,v0080,v0081,v0082,v0083,v0084,v0085,v0086,v0087,v0088,v0089,v0090,v0091,v0092,v0093,v0094,v0095,v0096,v0097,v0098,v0099,v0100,v0101,v0102,v0103,v0104,v0105,v0106,v0107,v0108,v0109,v0110,v0111,v0112,v0113,v0114,v0115,v0116,v0117,v0118,v0119,v0120,v0121,v0122,v0123,v0124,v0125,v0126,v0127,v0128,v0129,v0130,v0131,v0132,v0133,v0134,v0135,v0136,v0137,v0138,v0139,v0140,v0141,v0142,v0143,v0144,v0145,v0146,v0147,v0148,v0149,v0150,v0151,v0152,v0153,v0154,v0155,v0156,v0157,v0158,v0159,v0160,v0161,v0162,v0163,v0164,v0165,v0166,v0167,v0168,v0169,v0170,v0171,v0172,v0173,v0174,v0175,v0176,v0177,v0178,v0179,v0180,v0181,v0182,v0183,v0184,v0185,v0186,v0187,v0188,v0189,v0190,v0191,v0192,v0193,v0194,v0195,v0196,v0197,v0198,v0199,v0200,v0201,v0202,v0203,v0204,v0205,v0206,v0207,v0208,v0209,v0210,v0211,v0212,v0213,v0214,v0215,v0216
644,10.980000,-0.001700,0.021913,0.087815,0.018877,0.023101,0.083360,0.057432,0.007004,0.082358,0.004774,0.042381,-0.999090,0.006982,0.041587,-0.999111,0.008471,0.038628,-0.999218,-0.000000,-0.000000,-0.000000,0.143928,-0.080270,-0.000938,-0.177161,0.126651,0.137351,0.056019,0.173815,-0.557426,-0.521344,-0.632899,-0.412242,0.139957,-0.088584,0.002124,-0.177082,0.154039,0.145999,0.073374,0.200632,-0.577411,-0.531143,-0.649490,-0.427892,0.135171,-0.096700,0.004512,-0.176555,0.181855,0.158481,0.092381,0.227269,-0.593359,-0.535884,-0.658673,-0.438460,-0.010351,-0.022128,0.008894,0.001162,0.058325,0.019222,0.035122,0.056090,-0.027102,-0.039991,-0.043921,-0.025073,0.151961,0.421384,0.242061,0.225807,-0.010328,-0.020065,0.007122,0.000044,0.072057,0.024667,0.045944,0.068558,-0.052544,-0.015658,-0.034336,-0.037019,0.125529,0.341272,0.184374,0.184383,-0.014861,-0.021059,0.004178,0.004593,0.066073,0.031021,0.048628,0.053146,-0.029441,0.016280,-0.016656,-0.001510,0.105045,0.275621,0.150288,0.144271,-0.233676,1.559935,-0.754682,0.203849,1.092556,-0.904279,0.450708,1.108092,0.186043,-0.978638,1.427545,0.492623,2.327178,0.821967,1.234921,1.300451,-0.063496,1.477326,-0.723286,0.124230,1.113989,-0.698297,0.277926,0.775665,-0.465313,-0.892437,1.356069,0.238994,1.744460,0.706849,0.758010,1.013420,0.002335,1.430909,-0.609512,-0.012430,1.050820,-0.606618,0.234869,0.614179,-0.893180,-0.809653,1.243596,-0.064172,1.411544,0.609259,0.581064,0.938465,-0.090286,-0.849922,0.108694,0.194702,-0.814733,-0.178002,-0.707217,0.058094,-0.034032,-0.624079,-0.563375,-0.727043,-0.999827,-0.614947,-0.779819,0.057648,-0.204755,-0.987760,-0.765924,-0.531360,-0.929119,-0.485346,-0.155914,-0.573545,-0.265126,-0.056914,-0.129182,0.051204,0.048770,-0.028861,0.103790,-0.240571,-0.129278,0.183466,-0.941794,-0.990425,-0.447868,0.097280,-0.210153,1.410827,-0.107518,0.238347,-0.979657,0.280336,-0.729531,-0.089333,-0.634809,-0.807081,-0.202816,-0.956108,-0.495189,-0.947913,0.126172,0.169074,-0.888559,0.028854,-0.504100,0.023086,-0.005144,-0.240768,-0.604375,-0.149908,0.173895,0.073677
645,11.000000,0.018877,0.023101,0.083360,0.057432,0.007004,0.082358,0.039648,0.001000,0.069036,0.006982,0.041587,-0.999111,0.008471,0.038628,-0.999218,0.008779,0.034668,-0.999360,-0.000000,-0.000000,-0.000000,0.139957,-0.088584,0.002124,-0.177082,0.154039,0.145999,0.073374,0.200632,-0.577411,-0.531143,-0.649490,-0.427892,0.135171,-0.096700,0.004512,-0.176555,0.181855,0.158481,0.092381,0.227269,-0.593359,-0.535884,-0.658673,-0.438460,0.130970,-0.103885,0.007155,-0.175823,0.203956,0.176254,0.110729,0.254165,-0.595134,-0.541801,-0.661806,-0.448652,-0.010328,-0.020065,0.007122,0.000044,0.072057,0.024667,0.045944,0.068558,-0.052544,-0.015658,-0.034336,-0.037019,0.125529,0.341272,0.184374,0.184383,-0.014861,-0.021059,0.004178,0.004593,0.066073,0.031021,0.048628,0.053146,-0.029441,0.016280,-0.016656,-0.001510,0.105045,0.275621,0.150288,0.144271,-0.006381,-0.015216,0.008659,0.002776,0.037848,0.045901,0.045367,0.070799,0.035126,-0.017888,-0.006781,-0.032770,0.085164,0.225194,0.140431,0.152501,-0.063496,1.477326,-0.723286,0.124230,1.113989,-0.698297,0.277926,0.775665,-0.465313,-0.892437,1.356069,0.238994,1.744460,0.706849,0.758010,1.013420,0.002335,1.430909,-0.609512,-0.012430,1.050820,-0.606618,0.234869,0.614179,-0.893180,-0.809653,1.243596,-0.064172,1.411544,0.609259,0.581064,0.938465,0.003995,1.232982,-0.683747,-0.094657,0.972710,-0.731043,0.051412,0.494721,-1.337191,-0.584760,1.131068,-0.537048,1.182289,0.433893,0.537203,0.902046,-0.042386,-0.805439,0.209259,0.195014,-0.728522,-0.117750,-0.623009,-0.085299,-0.114618,-0.807979,-0.592390,-0.680554,-0.999854,-0.621417,-0.766544,-0.026246,-0.082726,-0.986636,-0.811640,-0.507123,-0.936565,-0.392119,-0.082218,-0.550190,-0.127852,-0.063962,-0.091737,0.061765,0.052227,-0.021860,0.118224,-0.216230,-0.146576,0.207275,-0.946090,-0.991903,-0.340282,0.054685,-0.232861,1.250993,-0.062832,0.163711,-0.980335,0.214777,-0.746079,-0.146044,-0.689317,-0.824436,-0.179562,-0.963506,-0.381050,-0.946826,0.110478,0.120680,-0.903830,-0.088975,-0.456767,0.085723,-0.070119,-0.208300,-0.560998,-0.101005,0.105567,0.056486
646,11.020000,0.057432,0.007004,0.082358,0.039648,0.001000,0.069036,0.059218,-0.018781,0.062570,0.008471,0.038628,-0.999218,0.008779,0.034668,-0.999360,0.008185,0.030758,-0.999493,-0.000000,-0.000000,-0.000000,0.135171,-0.096700,0.004512,-0.176555,0.181855,0.158481,0.092381,0.227269,-0.593359,-0.535884,-0.658673,-0.438460,0.130970,-0.103885,0.007155,-0.175823,0.203956,0.176254,0.110729,0.254165,-0.595134,-0.541801,-0.661806,-0.448652,0.128200,-0.109510,0.011257,-0.174179,0.226877,0.193517,0.126328,0.278621,-0.597077,-0.542421,-0.656771,-0.458867,-0.014861,-0.021059,0.004178,0.004593,0.066073,0.031021,0.048628,0.053146,-0.029441,0.016280,-0.016656,-0.001510,0.105045,0.275621,0.150288,0.144271,-0.006381,-0.015216,0.008659,0.002776,0.037848,0.045901,0.045367,0.070799,0.035126,-0.017888,-0.006781,-0.032770,0.085164,0.225194,0.140431,0.152501,-0.008380,-0.015034,0.009912,0.008709,0.059955,0.043385,0.036078,0.044707,-0.011046,0.005211,0.017047,-0.009866,0.086520,0.186774,0.152878,0.147083,0.002335,1.430909,-0.609512,-0.012430,1.050820,-0.606618,0.234869,0.614179,-0.893180,-0.809653,1.243596,-0.064172,1.411544,0.609259,0.581064,0.938465,0.003995,1.232982,-0.683747,-0.094657,0.972710,-0.731043,0.051412,0.494721,-1.337191,-0.584760,1.131068,-0.537048,1.182289,0.433893,0.537203,0.902046,-0.049279,1.180324,-0.600337,-0.223374,0.939821,-0.892266,0.019320,0.469538,-1.543096,-0.568310,1.099661,-0.758725,0.957748,0.439444,0.576147,1.046238,-0.039447,-0.815743,0.213829,0.179309,-0.691949,-0.154843,-0.608242,-0.030283,-0.105864,-0.798798,-0.582501,-0.665139,-0.999747,-0.600390,-0.761727,0.012599,-0.143457,-0.986918,-0.794398,-0.469130,-0.926461,-0.407268,-0.093391,-0.568536,-0.203931,-0.012198,-0.104506,0.025792,0.047203,-0.043861,0.092901,-0.297059,-0.112969,0.158649,-0.946341,-0.991663,-0.222201,0.044973,-0.232831,1.155607,-0.036999,0.119107,-0.978723,0.217502,-0.734525,-0.128643,-0.582787,-0.819020,-0.123193,-0.956929,-0.415641,-0.949878,0.152927,0.160674,-0.875470,-0.064537,-0.512942,0.128192,-0.023604,-0.202789,-0.627196,-0.132704,0.107636,0.049311
647,11.040000,0.039648,0.001000,0.069036,0.059218,-0.018781,0.062570,0.043089,-0.017910,0.053553,0.008779,0.034668,-0.999360,0.008185,0.030758,-0.999493,0.006875,0.026748,-0.999619,-0.000000,-0.000000,-0.000000,0.130970,-0.103885,0.007155,-0.175823,0.203956,0.176254,0.110729,0.254165,-0.595134,-0.541801,-0.661806,-0.448652,0.128200,-0.109510,0.011257,-0.174179,0.226877,0.193517,0.126328,0.278621,-0.597077,-0.542421,-0.656771,-0.458867,0.125956,-0.114354,0.014803,-0.172496,0.247796,0.213245,0.140874,0.300809,-0.599680,-0.547454,-0.659090,-0.470211,-0.006381,-0.015216,0.008659,0.002776,0.037848,0.045901,0.045367,0.070799,0.035126,-0.017888,-0.006781,-0.032770,0.085164,0.225194,0.140431,0.152501,-0.008380,-0.015034,0.009912,0.008709,0.059955,0.043385,0.036078,0.044707,-0.011046,0.005211,0.017047,-0.009866,0.086520,0.186774,0.152878,0.147083,-0.004056,-0.010424,0.009302,0.003951,0.046685,0.049770,0.034817,0.054383,-0.002746,-0.015677,-0.011190,-0.030910,0.095704,0.167501,0.166485,0.174855,0.003995,1.232982,-0.683747,-0.094657,0.972710,-0.731043,0.051412,0.494721,-1.337191,-0.584760,1.131068,-0.537048,1.182289,0.433893,0.537203,0.902046,-0.049279,1.180324,-0.600337,-0.223374,0.939821,-0.892266,0.019320,0.469538,-1.543096,-0.568310,1.099661,-0.758725,0.957748,0.439444,0.576147,1.046238,-0.140755,1.104638,-0.626335,-0.282816,0.879058,-1.087326,-0.008667,0.504663,-1.629076,-0.505386,1.092146,-1.061682,0.904696,0.448039,0.642168,1.109018,-0.067986,-0.823449,0.155488,0.186539,-0.740670,-0.134460,-0.691276,-0.057485,-0.045870,-0.790756,-0.563753,-0.687857,-0.999813,-0.605110,-0.764896,-0.015712,-0.188369,-0.987051,-0.786471,-0.492142,-0.932788,-0.416892,-0.122007,-0.575757,-0.266106,-0.009133,-0.164429,-0.007759,0.055331,-0.037370,0.105373,-0.269232,-0.097251,0.166975,-0.940228,-0.991008,-0.276038,0.044493,-0.243610,1.243839,-0.048985,0.159675,-0.974431,0.257469,-0.731979,-0.075617,-0.670126,-0.833666,-0.191694,-0.950580,-0.421875,-0.955020,0.096038,0.149157,-0.872842,0.019892,-0.490304,0.115214,-0.031956,-0.204806,-0.558003,-0.141495,0.093432,0.058744
648,11.060000,0.059218,-0.018781,0.062570,0.043089,-0.017910,0.053553,0.043642,-0.017574,0.052911,0.008185,0.030758,-0.999493,0.006875,0.026748,-0.999619,0.005348,0.023277,-0.999715,-0.000000,-0.000000,-0.000000,0.128200,-0.109510,0.011257,-0.174179,0.226877,0.193517,0.126328,0.278621,-0.597077,-0.542421,-0.656771,-0.458867,0.125956,-0.114354,0.014803,-0.172496,0.247796,0.213245,0.140874,0.300809,-0.599680,-0.547454,-0.659090,-0.470211,0.124042,-0.118869,0.018557,-0.169690,0.265112,0.227968,0.151093,0.317077,-0.600773,-0.545770,-0.660751,-0.479424,-0.008380,-0.015034,0.009912,0.008709,0.059955,0.043385,0.036078,0.044707,-0.011046,0.005211,0.017047,-0.009866,0.086520,0.186774,0.152878,0.147083,-0.004056,-0.010424,0.009302,0.003951,0.046685,0.049770,0.034817,0.054383,-0.002746,-0.015677,-0.011190,-0.030910,0.095704,0.167501,0.166485,0.174855,-0.004853,-0.013812,0.008901,0.004765,0.040588,0.017781,0.019422,0.042270,-0.002435,0.042884,0.000858,-0.030445,0.096279,0.171602,0.175894,0.195595,-0.049279,1.180324,-0.600337,-0.223374,0.939821,-0.892266,0.019320,0.469538,-1.543096,-0.568310,1.099661,-0.758725,0.957748,0.439444,0.576147,1.046238,-0.140755,1.104638,-0.626335,-0.282816,0.879058,-1.087326,-0.008667,0.504663,-1.629076,-0.505386,1.092146,-1.061682,0.904696,0.448039,0.642168,1.109018,-0.222898,1.113464,-0.424614,-0.342233,0.887504,-1.278157,0.044615,0.545578,-1.643167,-0.580335,1.115156,-1.021982,1.032374,0.448948,0.812060,1.111552,-0.099935,-0.757011,0.079180,0.215239,-0.637735,-0.125382,-0.665455,-0.073076,-0.089155,-0.807514,-0.581337,-0.686641,-0.999816,-0.582101,-0.776372,-0.006355,-0.144581,-0.986678,-0.748645,-0.534211,-0.933066,-0.387007,-0.116972,-0.578461,-0.191762,-0.006374,-0.140558,0.017198,0.047964,0.018164,0.073472,-0.213016,-0.092569,0.183401,-0.930207,-0.989858,-0.392780,0.029376,-0.208048,1.303171,-0.042081,0.097117,-0.977756,0.234675,-0.737201,-0.076265,-0.632293,-0.818498,-0.192342,-0.953229,-0.387276,-0.953698,0.099550,0.129566,-0.866153,-0.030601,-0.488905,0.077938,-0.050292,-0.184623,-0.519994,-0.080576,0.136792,0.109423
649,11.080000,0.043089,-0.017910,0.053553,0.043642,-0.017574,0.052911,0.017874,-0.028038,0.062596,0.006875,0.026748,-0.999619,0.005348,0.023277,-0.999715,0.003724,0.021154,-0.999769,-0.000000,-0.000000,-0.000000,0.125956,-0.114354,0.014803,-0.172496,0.247796,0.213245,0.140874,0.300809,-0.599680,-0.547454,-0.659090,-0.470211,0.124042,-0.118869,0.018557,-0.169690,0.265112,0.227968,0.151093,0.317077,-0.600773,-0.545770,-0.660751,-0.479424,0.122108,-0.123014,0.023071,-0.166598,0.277071,0.240249,0.157105,0.329730,-0.598250,-0.545961,-0.656384,-0.489939,-0.004056,-0.010424,0.009302,0.003951,0.046685,0.049770,0.034817,0.054383,-0.002746,-0.015677,-0.011190,-0.030910,0.095704,0.167501,0.166485,0.174855,-0.004853,-0.013812,0.008901,0.004765,0.040588,0.017781,0.019422,0.042270,-0.002435,0.042884,0.000858,-0.030445,0.096279,0.171602,0.175894,0.195595,-0.008971,-0.010294,0.012887,0.014612,0.014152,0.030798,0.014644,0.015126,0.028325,-0.007115,0.011617,-0.011820,0.097848,0.193681,0.174799,0.218719,-0.140755,1.104638,-0.626335,-0.282816,0.879058,-1.087326,-0.008667,0.504663,-1.629076,-0.505386,1.092146,-1.061682,0.904696,0.448039,0.642168,1.109018,-0.222898,1.113464,-0.424614,-0.342233,0.887504,-1.278157,0.044615,0.545578,-1.643167,-0.580335,1.115156,-1.021982,1.032374,0.448948,0.812060,1.111552,-0.258264,1.127882,-0.358726,-0.416157,0.847175,-1.433619,0.042427,0.593708,-1.695984,-0.560841,1.156041,-1.124869,1.213641,0.469862,1.030675,1.067151,-0.097886,-0.826208,0.126660,0.199323,-0.688699,-0.123142,-0.706513,-0.019221,-0.025028,-0.799740,-0.554487,-0.673344,-0.999771,-0.602659,-0.778168,0.008669,-0.112788,-0.988391,-0.671587,-0.343713,-0.935697,-0.383557,-0.098328,-0.570142,-0.234802,0.015857,-0.161935,-0.033901,0.103388,0.030942,0.125529,-0.336142,-0.122091,0.204390,-0.941306,-0.991436,-0.427008,0.067166,-0.228586,1.310827,-0.047137,0.131251,-0.976842,0.239082,-0.761647,-0.065426,-0.686985,-0.812443,-0.162714,-0.939658,-0.409594,-0.955728,0.093754,0.121488,-0.877310,-0.017903,-0.518146,0.080218,-0.026749,-0.208352,-0.561743,-0.127183,0.147204,0.060912
650,11.100000,0.043642,-0.017574,0.052911,0.017874,-0.028038,0.062596,0.018194,-0.014472,0.065939,0.005348,0.023277,-0.999715,0.003724,0.021154,-0.999769,0.002242,0.019780,-0.999802,-0.000000,-0.000000,-0.000000,0.124042,-0.118869,0.018557,-0.169690,0.265112,0.227968,0.151093,0.317077,-0.600773,-0.545770,-0.660751,-0.479424,0.122108,-0.123014,0.023071,-0.166598,0.277071,0.240249,0.157105,0.329730,-0.598250,-0.545961,-0.656384,-0.489939,0.119725,-0.127773,0.027382,-0.163662,0.287915,0.249103,0.162600,0.338554,-0.600433,-0.548798,-0.658689,-0.501682,-0.004853,-0.013812,0.008901,0.004765,0.040588,0.017781,0.019422,0.042270,-0.002435,0.042884,0.000858,-0.030445,0.096279,0.171602,0.175894,0.195595,-0.008971,-0.010294,0.012887,0.014612,0.014152,0.030798,0.014644,0.015126,0.028325,-0.007115,0.011617,-0.011820,0.097848,0.193681,0.174799,0.218719,-0.006542,-0.013560,0.009350,0.005109,0.030002,0.017109,0.012570,0.018418,-0.016554,-0.005759,-0.010996,-0.030180,0.117519,0.208587,0.172595,0.256179,-0.222898,1.113464,-0.424614,-0.342233,0.887504,-1.278157,0.044615,0.545578,-1.643167,-0.580335,1.115156,-1.021982,1.032374,0.448948,0.812060,1.111552,-0.258264,1.127882,-0.358726,-0.416157,0.847175,-1.433619,0.042427,0.593708,-1.695984,-0.560841,1.156041,-1.124869,1.213641,0.469862,1.030675,1.067151,-0.372794,1.127776,-0.360640,-0.312122,0.938091,-1.612170,-0.037537,0.641651,-1.654010,-0.692372,1.149200,-1.129594,1.255905,0.542129,1.109244,1.059096,-0.078430,-0.823515,0.179262,0.191833,-0.724217,-0.132704,-0.318603,-0.069989,-0.182196,-0.792811,-0.597582,-0.689393,-0.999686,-0.562628,-0.772322,0.006628,-0.114744,-0.985037,-0.854385,-0.562562,-0.925623,-0.414398,-0.090667,-0.565545,-0.181144,-0.024099,-0.116507,0.056825,0.081190,-0.025733,0.078634,-0.266314,-0.069834,0.158786,-0.944620,-0.991696,-0.287700,0.059367,-0.247205,1.192904,-0.040942,0.171155,-0.978148,0.215136,-0.753461,-0.144824,-0.702120,-0.801080,-0.205800,-0.953431,-0.372941,-0.942455,0.106014,0.145935,-0.876805,-0.052424,-0.521433,0.181132,-0.056126,-0.160044,-0.614817,-0.118908,0.092930,0.072056
651,11.120000,0.017874,-0.028038,0.062596,0.018194,-0.014472,0.065939,0.021636,-0.016227,0.068958,0.003724,0.021154,-0.999769,0.002242,0.019780,-0.999802,0.001113,0.017550,-0.999845,-0.000000,-0.000000,-0.000000,0.122108,-0.123014,0.023071,-0.166598,0.277071,0.240249,0.157105,0.329730,-0.598250,-0.545961,-0.656384,-0.489939,0.119725,-0.127773,0.027382,-0.163662,0.287915,0.249103,0.162600,0.338554,-0.600433,-0.548798,-0.658689,-0.501682,0.115790,-0.135318,0.030089,-0.161696,0.298032,0.251427,0.165636,0.341951,-0.607211,-0.542282,-0.661883,-0.511598,-0.008971,-0.010294,0.012887,0.014612,0.014152,0.030798,0.014644,0.015126,0.028325,-0.007115,0.011617,-0.011820,0.097848,0.193681,0.174799,0.218719,-0.006542,-0.013560,0.009350,0.005109,0.030002,0.017109,0.012570,0.018418,-0.016554,-0.005759,-0.010996,-0.030180,0.117519,0.208587,0.172595,0.256179,-0.009665,-0.018047,0.006575,0.002343,0.021267,0.009288,0.004169,0.012540,-0.015046,0.002914,-0.005243,-0.032669,0.131273,0.219550,0.175500,0.272045,-0.258264,1.127882,-0.358726,-0.416157,0.847175,-1.433619,0.042427,0.593708,-1.695984,-0.560841,1.156041,-1.124869,1.213641,0.469862,1.030675,1.067151,-0.372794,1.127776,-0.360640,-0.312122,0.938091,-1.612170,-0.037537,0.641651,-1.654010,-0.692372,1.149200,-1.129594,1.255905,0.542129,1.109244,1.059096,-0.375377,1.258000,-0.269942,-0.330954,1.020738,-1.528259,0.079858,0.697762,-1.590161,-0.810310,1.277415,-1.013461,1.396174,0.673686,1.189816,1.176698,-0.078430,-0.823515,0.179262,0.191833,-0.724217,-0.132704,-0.318603,-0.069989,-0.182196,-0.792811,-0.597582,-0.689393,-0.999686,-0.562628,-0.772322,0.006628,-0.114744,-0.985037,-0.854385,-0.562562,-0.925623,-0.414398,-0.090667,-0.565545,-0.181144,-0.024099,-0.116507,0.056825,0.081190,-0.025733,0.078634,-0.266314,-0.069834,0.158786,-0.944620,-0.991696,-0.287700,0.059367,-0.247205,1.192904,-0.040942,0.171155,-0.978148,0.215136,-0.753461,-0.144824,-0.702120,-0.801080,-0.205800,-0.953431,-0.372941,-0.942455,0.106014,0.145935,-0.876805,-0.052424,-0.521433,0.181132,-0.056126,-0.160044,-0.614817,-0.118908,0.092930,0.072056
652,11.140000,0.018194,-0.014472,0.065939,0.021636,-0.016227,0.068958,0.014855,-0.034419,0.071327,0.002242,0.019780,-0.999802,0.001113,0.017550,-0.999845,-0.000764,0.016017,-0.999871,-0.000000,-0.000000,-0.000000,0.119725,-0.127773,0.027382,-0.163662,0.287915,0.249103,0.162600,0.338554,-0.600433,-0.548798,-0.658689,-0.501682,0.115790,-0.135318,0.030089,-0.161696,0.298032,0.251427,0.165636,0.341951,-0.607211,-0.542282,-0.661883,-0.511598,0.111123,-0.142934,0.032059,-0.160383,0.305363,0.253682,0.167289,0.343506,-0.613344,-0.542844,-0.661784,-0.521249,-0.006542,-0.013560,0.009350,0.005109,0.030002,0.017109,0.012570,0.018418,-0.016554,-0.005759,-0.010996,-0.030180,0.117519,0.208587,0.172595,0.256179,-0.009665,-0.018047,0.006575,0.002343,0.021267,0.009288,0.004169,0.012540,-0.015046,0.002914,-0.005243,-0.032669,0.131273,0.219550,0.175500,0.272045,-0.012150,-0.018990,0.003013,0.003121,0.018735,0.002907,0.002494,0.002062,-0.016025,-0.000655,0.026819,-0.022659,0.141159,0.242283,0.182812,0.279351,-0.372794,1.127776,-0.360640,-0.312122,0.938091,-1.612170,-0.037537,0.641651,-1.654010,-0.692372,1.149200,-1.129594,1.255905,0.542129,1.109244,1.059096,-0.375377,1.258000,-0.269942,-0.330954,1.020738,-1.528259,0.079858,0.697762,-1.590161,-0.810310,1.277415,-1.013461,1.396174,0.673686,1.189816,1.176698,-0.392839,1.327642,-0.237891,-0.353811,1.048306,-1.577067,0.115250,0.744706,-1.543431,-0.929767,1.355070,-0.951201,1.585753,0.738549,1.252368,1.244852,-0.094126,-0.868764,0.137777,0.193588,-0.694221,-0.142050,-0.727272,0.065479,-0.067982,-0.581673,-0.530929,-0.686446,-0.999618,-0.618406,-0.790176,0.037648,-0.170718,-0.985100,-0.762965,-0.512271,-0.933944,-0.412230,-0.080155,-0.567077,-0.253536,0.024336,-0.156515,-0.018656,0.100689,-0.020141,0.068767,-0.325216,-0.058264,0.204097,-0.943560,-0.992369,-0.408323,0.008664,-0.224264,1.312621,-0.069671,0.162611,-0.983797,0.300877,-0.741149,-0.101516,-0.584681,-0.777860,-0.171093,-0.952796,-0.377782,-0.953905,0.113584,0.164778,-0.885987,0.074820,-0.522168,0.023990,-0.049176,-0.176955,-0.619054,-0.196779,0.105636,0.085453
653,11.160000,0.021636,-0.016227,0.068958,0.014855,-0.034419,0.071327,0.011644,-0.014120,0.070945,0.001113,0.017550,-0.999845,-0.000764,0.016017,-0.999871,-0.002457,0.015189,-0.999882,-0.000000,-0.000000,-0.000000,0.115790,-0.135318,0.030089,-0.161696,0.298032,0.251427,0.165636,0.341951,-0.607211,-0.542282,-0.661883,-0.511598,0.111123,-0.142934,0.032059,-0.160383,0.305363,0.253682,0.167289,0.343506,-0.613344,-0.542844,-0.661784,-0.521249,0.105350,-0.151013,0.033619,-0.160220,0.309776,0.250690,0.168817,0.345079,-0.617129,-0.536459,-0.665280,-0.533078,-0.009665,-0.018047,0.006575,0.002343,0.021267,0.009288,0.004169,0.012540,-0.015046,0.002914,-0.005243,-0.032669,0.131273,0.219550,0.175500,0.272045,-0.012150,-0.018990,0.003013,0.003121,0.018735,0.002907,0.002494,0.002062,-0.016025,-0.000655,0.026819,-0.022659,0.141159,0.242283,0.182812,0.279351,-0.013081,-0.021096,0.003045,-0.000984,0.015975,-0.010115,0.003201,0.002827,-0.023101,0.017978,-0.018167,-0.030868,0.146379,0.251395,0.182079,0.283593,-0.375377,1.258000,-0.269942,-0.330954,1.020738,-1.528259,0.079858,0.697762,-1.590161,-0.810310,1.277415,-1.013461,1.396174,0.673686,1.189816,1.176698,-0.392839,1.327642,-0.237891,-0.353811,1.048306,-1.577067,0.115250,0.744706,-1.543431,-0.929767,1.355070,-0.951201,1.585753,0.738549,1.252368,1.244852,-0.455330,1.339402,-0.400560,-0.285097,1.086303,-1.619456,0.068782,0.769098,-1.456951,-1.063338,1.282501,-0.992360,1.615982,0.691191,1.207821,1.211822,-0.053047,-0.819371,0.132469,0.181758,-0.726215,-0.109299,-0.667410,-0.071344,-0.120403,-0.719587,-0.612419,-0.709309,-0.999754,-0.635129,-0.805467,0.026952,-0.125954,-0.979542,-0.847883,-0.582497,-0.930043,-0.418055,-0.100266,-0.541491,-0.206060,-0.022041,-0.131487,0.065136,0.033594,-0.002345,0.083835,-0.300414,-0.071875,0.200661,-0.945135,-0.990624,-0.416523,0.072324,-0.245678,1.351590,-0.106754,0.163781,-0.980794,0.234721,-0.800734,-0.089990,-0.687405,-0.796452,-0.228732,-0.953166,-0.458154,-0.948824,0.159464,0.130611,-0.900102,-0.101750,-0.506443,0.038967,-0.075596,-0.210719,-0.523616,-0.113570,0.106455,0.029398
