inference_index,sim_time,policy_id,cmd_x,cmd_y,cmd_yaw
305,4.520000,3,-0.000000,-0.000000,-0.000000
306,4.540000,3,-0.000000,-0.000000,-0.000000
307,4.560000,3,-0.000000,-0.000000,-0.000000
308,4.580000,3,-0.000000,-0.000000,-0.000000
309,4.600000,3,-0.000000,-0.000000,-0.000000
310,4.620000,3,-0.000000,-0.000000,-0.000000
311,4.640000,3,-0.000000,-0.000000,-0.000000
312,4.660000,3,-0.000000,-0.000000,-0.000000
313,4.680000,3,-0.000000,-0.000000,-0.000000
314,4.700000,3,-0.000000,-0.000000,-0.000000
315,4.720000,3,-0.000000,-0.000000,-0.000000
316,4.740000,3,-0.000000,-0.000000,-0.000000
317,4.760000,3,-0.000000,-0.000000,-0.000000
318,4.780000,3,-0.000000,-0.000000,-0.000000
319,4.800000,3,-0.000000,-0.000000,-0.000000
320,4.820000,3,-0.000000,-0.000000,-0.000000
321,4.840000,3,-0.000000,-0.000000,-0.000000
322,4.860000,3,-0.000000,-0.000000,-0.000000
323,4.880000,3,-0.000000,-0.000000,-0.000000
324,4.900000,3,-0.000000,-0.000000,-0.000000
325,4.920000,3,-0.000000,-0.000000,-0.000000
326,4.940000,3,-0.000000,-0.000000,-0.000000
327,4.960000,3,-0.000000,-0.000000,-0.000000
328,4.980000,3,0.005127,-0.000000,-0.000000
329,5.000000,3,0.041841,-0.000000,-0.000000
330,5.020000,3,0.077364,-0.000000,-0.000000
331,5.040000,3,0.138524,-0.000000,-0.000000
332,5.060000,3,0.178503,-0.000000,-0.000000
333,5.080000,3,0.275643,0.000671,-0.000000
334,5.100000,3,0.390332,0.001251,-0.000000
335,5.120000,3,0.474776,0.013520,-0.000000
336,5.140000,3,0.525925,0.032838,-0.000000
337,5.160000,3,0.538896,0.042604,-0.000000
338,5.180000,3,0.542283,0.044252,-0.000000
339,5.200000,3,0.548418,0.044588,-0.000000
340,5.220000,3,0.555040,0.045320,-0.000000
341,5.240000,3,0.558153,0.045595,-0.000000
342,5.260000,3,0.560686,0.045503,-0.000000
343,5.280000,3,0.567034,0.045351,-0.000000
344,5.300000,3,0.597491,0.045534,-0.000000
345,5.320000,3,0.651082,0.046327,-0.000000
346,5.340000,3,0.736290,0.046846,-0.000000
347,5.360000,3,0.800043,0.047914,-0.000000
348,5.380000,3,0.821528,0.048158,-0.000000
349,5.400000,3,0.824702,0.048158,-0.000000
350,5.420000,3,0.824915,0.048311,-0.000000
351,5.440000,3,0.824915,0.048311,-0.000000
352,5.460000,3,0.827998,0.048372,-0.000000
353,5.480000,3,0.831477,0.048372,-0.000000
354,5.500000,3,0.850703,0.048555,-0.000000
355,5.520000,3,0.878506,0.048799,-0.000000
356,5.540000,3,0.898648,0.048982,-0.000000
357,5.560000,3,0.922666,0.049165,-0.000000
358,5.580000,3,0.950041,0.049348,-0.000000
359,5.600000,3,0.978912,0.049593,-0.000000
360,5.620000,3,1.000000,0.049776,-0.000000
361,5.640000,3,1.000000,0.049837,-0.000000
362,5.660000,3,1.000000,0.049837,-0.000000
363,5.680000,3,1.000000,0.049837,-0.000000
364,5.700000,3,1.000000,0.049837,-0.000000
365,5.720000,3,0.993042,0.049837,-0.000000
366,5.740000,3,0.967864,0.049837,-0.000000
367,5.760000,3,0.937773,0.045961,-0.000000
368,5.780000,3,0.901914,0.012635,-0.000000
369,5.800000,3,0.868709,-0.000000,-0.000000
370,5.820000,3,0.847377,-0.003693,-0.000000
371,5.840000,3,0.821741,-0.010987,-0.000000
372,5.860000,3,0.775933,-0.019715,-0.000000
373,5.880000,3,0.738060,-0.040681,-0.000000
374,5.900000,3,0.714896,-0.077059,-0.000000
375,5.920000,3,0.672292,-0.145756,-0.000000
376,5.940000,3,0.638386,-0.171789,-0.000000
377,5.960000,3,0.623432,-0.177465,-0.000000
378,5.980000,3,0.596942,-0.177282,-0.000000
379,6.000000,3,0.525956,-0.173132,-0.000000
380,6.020000,3,0.450301,-0.167028,-0.000000
381,6.040000,3,0.407056,-0.163915,-0.000000
382,6.060000,3,0.362865,-0.159825,-0.000000
383,6.080000,3,0.322550,-0.155644,-0.000000
384,6.100000,3,0.317820,-0.154088,-0.000000
385,6.120000,3,0.315531,-0.153508,-0.000000
386,6.140000,3,0.314371,-0.153508,-0.000000
387,6.160000,3,0.314066,-0.153508,-0.000000
388,6.180000,3,0.313791,-0.159764,-0.000000
389,6.200000,3,0.315989,-0.171056,-0.000000
390,6.220000,3,0.317087,-0.177343,-0.000000
391,6.240000,3,0.324717,-0.180883,-0.000000
392,6.260000,3,0.340007,-0.183752,-0.000000
393,6.280000,3,0.345164,-0.199683,-0.000000
394,6.300000,3,0.350810,-0.235054,-0.000000
395,6.320000,3,0.356975,-0.276162,-0.000000
396,6.340000,3,0.361858,-0.306040,-0.000000
397,6.360000,3,0.364574,-0.333903,-0.000000
398,6.380000,3,0.367870,-0.349528,-0.000000
399,6.400000,3,0.371502,-0.360881,-0.000000
400,6.420000,3,0.377880,-0.373028,-0.000000
401,6.440000,3,0.383618,-0.381756,-0.000000
402,6.460000,3,0.386639,-0.384198,-0.000000
403,6.480000,3,0.387219,-0.385113,-0.000000
404,6.500000,3,0.387280,-0.385907,-0.000000
405,6.520000,3,0.387188,-0.386334,-0.025956
406,6.540000,3,0.387310,-0.386914,-0.183798
407,6.560000,3,0.387310,-0.385540,-0.431913
408,6.580000,3,0.387371,-0.383007,-0.565996
409,6.600000,3,0.391247,-0.374401,-0.716285
410,6.620000,3,0.392010,-0.361217,-0.836406
411,6.640000,3,0.390790,-0.350719,-0.898251
412,6.660000,3,0.389111,-0.340678,-0.918439
