inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015,v0016,v0017,v0018,v0019,v0020,v0021,v0022,v0023,v0024,v0025,v0026,v0027,v0028,v0029,v0030,v0031,v0032,v0033,v0034,v0035,v0036,v0037,v0038,v0039,v0040,v0041,v0042,v0043,v0044,v0045,v0046,v0047,v0048,v0049,v0050,v0051,v0052,v0053,v0054,v0055,v0056,v0057,v0058,v0059,v0060,v0061,v0062,v0063,v0064,v0065,v0066,v0067,v0068,v0069,v0070,v0071,v0072,v0073,v0074,v0075,v0076,v0077,v0078,v0079,v0080,v0081,v0082,v0083,v0084,v0085,v0086,v0087,v0088,v0089,v0090,v0091,v0092,v0093,v0094,v0095,v0096,v0097,v0098,v0099,v0100,v0101,v0102,v0103,v0104,v0105,v0106,v0107,v0108,v0109,v0110,v0111,v0112,v0113,v0114,v0115,v0116,v0117,v0118,v0119,v0120,v0121,v0122,v0123,v0124,v0125,v0126,v0127,v0128,v0129,v0130,v0131,v0132,v0133,v0134,v0135,v0136,v0137,v0138,v0139,v0140,v0141,v0142,v0143,v0144,v0145,v0146,v0147,v0148,v0149,v0150,v0151,v0152,v0153,v0154,v0155,v0156,v0157,v0158,v0159,v0160,v0161,v0162,v0163,v0164,v0165,v0166,v0167,v0168,v0169,v0170,v0171,v0172,v0173,v0174,v0175,v0176,v0177,v0178,v0179,v0180,v0181,v0182,v0183,v0184,v0185,v0186,v0187,v0188,v0189,v0190,v0191,v0192,v0193,v0194,v0195,v0196,v0197,v0198,v0199,v0200,v0201,v0202,v0203,v0204,v0205,v0206,v0207,v0208,v0209,v0210,v0211,v0212,v0213,v0214,v0215,v0216
305,4.520000,0.007801,-0.003358,-0.014172,0.005922,0.000550,-0.010729,-0.011248,-0.006299,-0.012199,-0.095241,-0.040933,-0.994612,-0.095347,-0.041291,-0.994587,-0.095959,-0.041703,-0.994511,-0.000000,-0.000000,-0.000000,0.127868,-0.137701,0.040657,-0.135062,0.457501,0.402521,0.370237,0.538728,-0.563184,-0.653523,-0.822583,-0.842473,0.128983,-0.138383,0.042450,-0.136318,0.457415,0.402906,0.370641,0.539414,-0.562865,-0.655088,-0.825451,-0.847659,0.130047,-0.139643,0.043576,-0.135972,0.458744,0.403974,0.371691,0.538564,-0.563169,-0.658770,-0.823785,-0.847997,0.004525,-0.001214,0.001073,-0.001979,0.004686,-0.000655,0.005259,0.000209,-0.004891,0.003324,0.031247,-0.008820,0.326892,0.378960,0.424480,0.348714,0.001508,-0.000750,0.004624,-0.003598,-0.000473,-0.004589,0.000175,0.001056,0.001185,0.023223,-0.015634,-0.011583,0.319324,0.385215,0.400482,0.348292,-0.001532,-0.001278,0.005278,-0.001491,-0.008703,0.002317,0.001380,0.005482,0.015845,-0.015649,-0.004983,-0.016050,0.308983,0.377582,0.406255,0.346950,-0.139863,2.189989,-1.068137,-0.754565,1.294765,-1.531190,1.180100,1.958625,-1.915599,-1.193743,2.627981,-1.101156,2.257387,1.474506,1.657093,2.724715,-0.139551,2.155938,-1.043313,-0.789618,1.264282,-1.540571,1.110520,1.939577,-1.949323,-1.137509,2.558445,-1.300871,2.252798,1.413255,1.638501,2.647244,-0.107361,2.167274,-1.035300,-0.768432,1.294617,-1.514080,1.132283,1.951596,-1.926751,-1.181111,2.602314,-1.187787,2.276081,1.402978,1.647703,2.676319,0.034347,-0.890455,-0.011532,0.159666,-0.653610,-0.147888,3.235234,-0.150228,-0.270949,-0.324100,0.335406,-0.439408,-0.995292,-0.628382,-0.423472,-0.040789,-0.027391,-0.996061,-0.888941,-0.033313,-0.921364,0.052499,-0.443653,-0.439040,0.038146,0.017808,-0.008044,-0.015045,0.058410,0.062944,-0.052447,-0.848551,0.033833,-0.078130,-0.982305,-0.980864,0.324867,-0.020388,-0.071118,0.091717,0.122767,-0.416972,-0.946382,-0.127127,-0.877074,-0.088039,-0.735052,-0.823181,0.078475,-0.992905,-0.286858,-0.839133,0.054709,-0.018875,-0.775526,-0.201441,-0.792387,-0.089406,0.012994,-0.120727,-0.277041,-0.151789,-0.112100,-0.109160
306,4.540000,0.005922,0.000550,-0.010729,-0.011248,-0.006299,-0.012199,0.016315,-0.007704,-0.008480,-0.095347,-0.041291,-0.994587,-0.095959,-0.041703,-0.994511,-0.096321,-0.042461,-0.994444,-0.000000,-0.000000,-0.000000,0.128983,-0.138383,0.042450,-0.136318,0.457415,0.402906,0.370641,0.539414,-0.562865,-0.655088,-0.825451,-0.847659,0.130047,-0.139643,0.043576,-0.135972,0.458744,0.403974,0.371691,0.538564,-0.563169,-0.658770,-0.823785,-0.847997,0.131067,-0.141222,0.044735,-0.136299,0.460685,0.403321,0.371476,0.538380,-0.564364,-0.657337,-0.828600,-0.849178,0.001508,-0.000750,0.004624,-0.003598,-0.000473,-0.004589,0.000175,0.001056,0.001185,0.023223,-0.015634,-0.011583,0.319324,0.385215,0.400482,0.348292,-0.001532,-0.001278,0.005278,-0.001491,-0.008703,0.002317,0.001380,0.005482,0.015845,-0.015649,-0.004983,-0.016050,0.308983,0.377582,0.406255,0.346950,0.002504,-0.006041,0.001473,-0.001181,0.008653,-0.000185,-0.000924,-0.000223,-0.007757,-0.003127,-0.011649,-0.000530,0.322377,0.379342,0.398087,0.340462,-0.139551,2.155938,-1.043313,-0.789618,1.264282,-1.540571,1.110520,1.939577,-1.949323,-1.137509,2.558445,-1.300871,2.252798,1.413255,1.638501,2.647244,-0.107361,2.167274,-1.035300,-0.768432,1.294617,-1.514080,1.132283,1.951596,-1.926751,-1.181111,2.602314,-1.187787,2.276081,1.402978,1.647703,2.676319,-0.145058,2.214626,-0.964433,-0.753664,1.309877,-1.557998,1.161499,1.958686,-1.905092,-1.234319,2.635616,-1.084658,2.304825,1.455923,1.647343,2.669917,0.010696,-0.819835,-0.009781,0.172072,-0.754096,-0.184420,3.298170,-0.193585,-0.239623,-0.176920,0.303095,-0.388999,-0.995560,-0.615442,-0.419088,0.009212,0.028736,-0.996252,-0.849292,0.097464,-0.922831,0.083866,-0.440073,-0.445614,-0.035220,0.036175,0.068445,-0.001851,0.074849,0.112834,-0.036501,-0.867448,0.030207,-0.079494,-0.983608,-0.983140,0.254205,-0.036612,-0.017261,0.101900,0.136342,-0.450336,-0.961612,-0.040691,-0.856171,-0.145767,-0.725022,-0.827437,0.082690,-0.993061,-0.182490,-0.836667,0.066824,-0.068970,-0.762217,-0.270787,-0.782539,-0.098450,-0.022237,-0.139273,-0.235273,-0.195495,-0.085430,-0.017783
307,4.560000,-0.011248,-0.006299,-0.012199,0.016315,-0.007704,-0.008480,-0.002879,0.001437,-0.009604,-0.095959,-0.041703,-0.994511,-0.096321,-0.042461,-0.994444,-0.096454,-0.042108,-0.994446,-0.000000,-0.000000,-0.000000,0.130047,-0.139643,0.043576,-0.135972,0.458744,0.403974,0.371691,0.538564,-0.563169,-0.658770,-0.823785,-0.847997,0.131067,-0.141222,0.044735,-0.136299,0.460685,0.403321,0.371476,0.538380,-0.564364,-0.657337,-0.828600,-0.849178,0.131629,-0.142163,0.045641,-0.137313,0.460631,0.402769,0.372931,0.539354,-0.563543,-0.656486,-0.826736,-0.853152,-0.001532,-0.001278,0.005278,-0.001491,-0.008703,0.002317,0.001380,0.005482,0.015845,-0.015649,-0.004983,-0.016050,0.308983,0.377582,0.406255,0.346950,0.002504,-0.006041,0.001473,-0.001181,0.008653,-0.000185,-0.000924,-0.000223,-0.007757,-0.003127,-0.011649,-0.000530,0.322377,0.379342,0.398087,0.340462,0.004576,-0.002486,0.003136,-0.003741,0.006550,-0.001786,0.000711,0.001729,-0.008261,0.004273,-0.008871,-0.010609,0.325406,0.379055,0.394049,0.342257,-0.107361,2.167274,-1.035300,-0.768432,1.294617,-1.514080,1.132283,1.951596,-1.926751,-1.181111,2.602314,-1.187787,2.276081,1.402978,1.647703,2.676319,-0.145058,2.214626,-0.964433,-0.753664,1.309877,-1.557998,1.161499,1.958686,-1.905092,-1.234319,2.635616,-1.084658,2.304825,1.455923,1.647343,2.669917,-0.100731,2.193530,-0.934974,-0.786560,1.296955,-1.577546,1.183685,1.935235,-1.888324,-1.235161,2.653386,-1.086313,2.310416,1.447565,1.631982,2.663918,0.081371,-0.857020,-0.004760,0.171474,-0.728725,-0.200922,3.296860,-0.187639,-0.247291,-0.359223,0.211457,-0.438139,-0.997315,-0.591920,-0.457393,-0.025235,0.074300,-0.995101,-0.887751,0.013282,-0.914104,0.020613,-0.405190,-0.429783,0.012251,-0.025244,0.092136,-0.001790,0.037991,0.149435,-0.041180,-0.851546,-0.022530,-0.079094,-0.982218,-0.978928,0.182133,-0.030757,-0.032626,0.012940,0.109043,-0.382321,-0.942428,-0.039785,-0.854466,-0.153991,-0.726237,-0.823131,0.067400,-0.993876,-0.235965,-0.812934,0.075547,0.004156,-0.780894,-0.303340,-0.801252,-0.080581,0.012782,-0.150448,-0.248036,-0.121073,-0.052626,-0.031968
308,4.580000,0.016315,-0.007704,-0.008480,-0.002879,0.001437,-0.009604,-0.008941,0.001225,-0.004422,-0.096321,-0.042461,-0.994444,-0.096454,-0.042108,-0.994446,-0.096569,-0.041846,-0.994446,-0.000000,-0.000000,-0.000000,0.131067,-0.141222,0.044735,-0.136299,0.460685,0.403321,0.371476,0.538380,-0.564364,-0.657337,-0.828600,-0.849178,0.131629,-0.142163,0.045641,-0.137313,0.460631,0.402769,0.372931,0.539354,-0.563543,-0.656486,-0.826736,-0.853152,0.131596,-0.143704,0.046657,-0.136485,0.460075,0.401652,0.374138,0.537594,-0.562619,-0.653102,-0.825547,-0.850808,0.002504,-0.006041,0.001473,-0.001181,0.008653,-0.000185,-0.000924,-0.000223,-0.007757,-0.003127,-0.011649,-0.000530,0.322377,0.379342,0.398087,0.340462,0.004576,-0.002486,0.003136,-0.003741,0.006550,-0.001786,0.000711,0.001729,-0.008261,0.004273,-0.008871,-0.010609,0.325406,0.379055,0.394049,0.342257,0.003172,-0.003121,0.002383,-0.001697,0.003802,-0.003706,0.003930,0.001478,-0.004992,0.009164,0.007176,-0.007266,0.323212,0.382133,0.395058,0.341536,-0.145058,2.214626,-0.964433,-0.753664,1.309877,-1.557998,1.161499,1.958686,-1.905092,-1.234319,2.635616,-1.084658,2.304825,1.455923,1.647343,2.669917,-0.100731,2.193530,-0.934974,-0.786560,1.296955,-1.577546,1.183685,1.935235,-1.888324,-1.235161,2.653386,-1.086313,2.310416,1.447565,1.631982,2.663918,-0.087496,2.191736,-0.895605,-0.809662,1.287403,-1.555380,1.190056,1.940099,-1.890859,-1.245977,2.654612,-1.090609,2.323881,1.418025,1.616638,2.637711,0.079696,-0.853595,-0.005565,0.182704,-0.728276,-0.204139,3.245472,-0.170637,-0.250620,-0.314849,0.237326,-0.439063,-0.994564,-0.633651,-0.417744,-0.028097,-0.003937,-0.995840,-0.877010,0.160318,-0.915684,0.035008,-0.436394,-0.438441,0.014210,-0.007890,0.150821,0.041472,0.053585,0.176646,-0.082012,-0.853197,0.023511,-0.055281,-0.981949,-0.981097,0.143591,-0.025408,-0.009218,0.065477,0.118228,-0.441192,-0.951975,-0.082627,-0.837266,-0.163990,-0.760536,-0.832681,0.031464,-0.993938,-0.231824,-0.817186,0.054921,-0.000351,-0.747651,-0.306070,-0.788627,-0.124548,-0.023563,-0.167152,-0.189792,-0.145370,-0.051752,-0.038392
309,4.600000,-0.002879,0.001437,-0.009604,-0.008941,0.001225,-0.004422,-0.014881,-0.010991,0.002943,-0.096454,-0.042108,-0.994446,-0.096569,-0.041846,-0.994446,-0.096860,-0.041113,-0.994448,-0.000000,-0.000000,-0.000000,0.131629,-0.142163,0.045641,-0.137313,0.460631,0.402769,0.372931,0.539354,-0.563543,-0.656486,-0.826736,-0.853152,0.131596,-0.143704,0.046657,-0.136485,0.460075,0.401652,0.374138,0.537594,-0.562619,-0.653102,-0.825547,-0.850808,0.132253,-0.145422,0.047810,-0.136244,0.460656,0.401243,0.375334,0.536706,-0.562726,-0.655262,-0.824609,-0.850263,0.004576,-0.002486,0.003136,-0.003741,0.006550,-0.001786,0.000711,0.001729,-0.008261,0.004273,-0.008871,-0.010609,0.325406,0.379055,0.394049,0.342257,0.003172,-0.003121,0.002383,-0.001697,0.003802,-0.003706,0.003930,0.001478,-0.004992,0.009164,0.007176,-0.007266,0.323212,0.382133,0.395058,0.341536,-0.005374,-0.003796,0.001388,0.010072,-0.011394,-0.001035,0.009074,-0.012599,0.018827,-0.003869,0.028654,0.025967,0.307831,0.376325,0.407563,0.332285,-0.100731,2.193530,-0.934974,-0.786560,1.296955,-1.577546,1.183685,1.935235,-1.888324,-1.235161,2.653386,-1.086313,2.310416,1.447565,1.631982,2.663918,-0.087496,2.191736,-0.895605,-0.809662,1.287403,-1.555380,1.190056,1.940099,-1.890859,-1.245977,2.654612,-1.090609,2.323881,1.418025,1.616638,2.637711,-0.062467,2.169035,-0.909304,-0.826515,1.269338,-1.510278,1.135467,1.916700,-1.975963,-1.216517,2.604074,-1.207555,2.304988,1.377440,1.619530,2.612632,0.027365,-0.811280,0.018453,0.149418,-0.740505,-0.211882,3.179090,-0.160157,-0.308596,-0.333351,0.269015,-0.441616,-0.996200,-0.655464,-0.438123,-0.044645,-0.013538,-0.994920,-0.891871,-0.069023,-0.923577,0.011752,-0.416999,-0.423086,0.029091,0.010790,0.140430,-0.027046,0.041416,0.142597,-0.125770,-0.843422,0.005047,-0.109090,-0.982540,-0.981185,0.194043,-0.022815,0.014319,0.041575,0.102091,-0.359474,-0.949657,-0.038152,-0.876749,-0.166075,-0.792617,-0.838566,0.049779,-0.993047,-0.396379,-0.805022,0.050509,-0.045832,-0.774227,-0.293803,-0.779338,-0.157063,0.018918,-0.125092,-0.274443,-0.124367,-0.042764,-0.030472
310,4.620000,-0.008941,0.001225,-0.004422,-0.014881,-0.010991,0.002943,0.003342,-0.003803,-0.003596,-0.096569,-0.041846,-0.994446,-0.096860,-0.041113,-0.994448,-0.097278,-0.041122,-0.994407,-0.000000,-0.000000,-0.000000,0.131596,-0.143704,0.046657,-0.136485,0.460075,0.401652,0.374138,0.537594,-0.562619,-0.653102,-0.825547,-0.850808,0.132253,-0.145422,0.047810,-0.136244,0.460656,0.401243,0.375334,0.536706,-0.562726,-0.655262,-0.824609,-0.850263,0.132430,-0.147291,0.048392,-0.137133,0.461713,0.399624,0.376201,0.536453,-0.562875,-0.650299,-0.826651,-0.850320,0.003172,-0.003121,0.002383,-0.001697,0.003802,-0.003706,0.003930,0.001478,-0.004992,0.009164,0.007176,-0.007266,0.323212,0.382133,0.395058,0.341536,-0.005374,-0.003796,0.001388,0.010072,-0.011394,-0.001035,0.009074,-0.012599,0.018827,-0.003869,0.028654,0.025967,0.307831,0.376325,0.407563,0.332285,0.001859,-0.005986,0.000705,-0.005578,0.005866,-0.002927,-0.000121,0.001157,-0.004103,0.001153,-0.010846,-0.004933,0.317656,0.367721,0.395431,0.336713,-0.087496,2.191736,-0.895605,-0.809662,1.287403,-1.555380,1.190056,1.940099,-1.890859,-1.245977,2.654612,-1.090609,2.323881,1.418025,1.616638,2.637711,-0.062467,2.169035,-0.909304,-0.826515,1.269338,-1.510278,1.135467,1.916700,-1.975963,-1.216517,2.604074,-1.207555,2.304988,1.377440,1.619530,2.612632,-0.113940,2.120368,-1.098834,-0.734753,1.299637,-1.520211,0.979902,1.867939,-2.067008,-1.144679,2.528489,-1.373884,2.145917,1.379233,1.493886,2.632888,0.038007,-0.813934,0.001771,0.192812,-0.700219,-0.189119,3.091565,-0.174962,-0.291298,-0.156251,0.231967,-0.399144,-0.996135,-0.626807,-0.443606,-0.019203,0.034658,-0.994855,-0.888464,-0.114715,-0.918849,-0.016581,-0.446274,-0.456574,0.049414,-0.034645,0.136499,0.027284,0.061806,0.100424,-0.035141,-0.833281,0.015499,-0.109036,-0.980070,-0.981323,0.229096,-0.031206,-0.044211,0.037166,0.078955,-0.431501,-0.946288,-0.036102,-0.819006,-0.163788,-0.692754,-0.822046,0.052145,-0.993778,-0.086105,-0.817342,0.076148,-0.059837,-0.783298,-0.313514,-0.767414,-0.105334,0.019686,-0.137716,-0.164199,-0.148416,-0.056949,-0.024654
311,4.640000,-0.014881,-0.010991,0.002943,0.003342,-0.003803,-0.003596,0.004935,-0.007844,-0.005077,-0.096860,-0.041113,-0.994448,-0.097278,-0.041122,-0.994407,-0.097618,-0.040622,-0.994395,-0.000000,-0.000000,-0.000000,0.132253,-0.145422,0.047810,-0.136244,0.460656,0.401243,0.375334,0.536706,-0.562726,-0.655262,-0.824609,-0.850263,0.132430,-0.147291,0.048392,-0.137133,0.461713,0.399624,0.376201,0.536453,-0.562875,-0.650299,-0.826651,-0.850320,0.132536,-0.148279,0.048598,-0.137225,0.461766,0.399046,0.377462,0.535038,-0.561368,-0.647543,-0.825672,-0.847892,-0.005374,-0.003796,0.001388,0.010072,-0.011394,-0.001035,0.009074,-0.012599,0.018827,-0.003869,0.028654,0.025967,0.307831,0.376325,0.407563,0.332285,0.001859,-0.005986,0.000705,-0.005578,0.005866,-0.002927,-0.000121,0.001157,-0.004103,0.001153,-0.010846,-0.004933,0.317656,0.367721,0.395431,0.336713,0.001852,-0.003813,0.000133,-0.000620,0.005728,0.000719,0.002158,-0.005727,-0.003637,0.008034,-0.007426,0.011837,0.321662,0.366190,0.405274,0.326860,-0.062467,2.169035,-0.909304,-0.826515,1.269338,-1.510278,1.135467,1.916700,-1.975963,-1.216517,2.604074,-1.207555,2.304988,1.377440,1.619530,2.612632,-0.113940,2.120368,-1.098834,-0.734753,1.299637,-1.520211,0.979902,1.867939,-2.067008,-1.144679,2.528489,-1.373884,2.145917,1.379233,1.493886,2.632888,-0.091096,2.175994,-1.054836,-0.771616,1.298530,-1.466803,1.090278,1.897406,-1.995462,-1.197422,2.633835,-1.212367,2.201000,1.443173,1.508322,2.736260,0.020746,-0.802490,0.007280,0.182974,-0.732550,-0.183341,3.039230,-0.159104,-0.287533,-0.240182,0.255533,-0.445790,-0.996100,-0.647812,-0.465838,-0.061719,0.030680,-0.995399,-0.865468,-0.071394,-0.916400,0.017998,-0.451197,-0.445253,-0.025056,-0.014189,0.106527,-0.005023,0.035037,0.133623,-0.047615,-0.829576,0.004802,-0.064791,-0.980232,-0.983360,0.251999,-0.031524,-0.040045,0.064164,0.121220,-0.398791,-0.953639,-0.104456,-0.861934,-0.165395,-0.772912,-0.819757,0.097186,-0.993904,-0.230572,-0.819395,0.103500,-0.035312,-0.815463,-0.226148,-0.786060,-0.106690,-0.009240,-0.162248,-0.187460,-0.160701,-0.072055,-0.032019
312,4.660000,0.003342,-0.003803,-0.003596,0.004935,-0.007844,-0.005077,-0.010658,-0.002416,-0.017685,-0.097278,-0.041122,-0.994407,-0.097618,-0.040622,-0.994395,-0.098057,-0.040331,-0.994363,-0.000000,-0.000000,-0.000000,0.132430,-0.147291,0.048392,-0.137133,0.461713,0.399624,0.376201,0.536453,-0.562875,-0.650299,-0.826651,-0.850320,0.132536,-0.148279,0.048598,-0.137225,0.461766,0.399046,0.377462,0.535038,-0.561368,-0.647543,-0.825672,-0.847892,0.132951,-0.149357,0.048575,-0.139308,0.462264,0.398445,0.378250,0.536265,-0.560475,-0.646009,-0.827101,-0.850063,0.001859,-0.005986,0.000705,-0.005578,0.005866,-0.002927,-0.000121,0.001157,-0.004103,0.001153,-0.010846,-0.004933,0.317656,0.367721,0.395431,0.336713,0.001852,-0.003813,0.000133,-0.000620,0.005728,0.000719,0.002158,-0.005727,-0.003637,0.008034,-0.007426,0.011837,0.321662,0.366190,0.405274,0.326860,0.001256,0.000365,-0.003369,-0.006010,-0.003225,-0.005985,0.007548,0.003896,0.007696,0.025859,0.024115,-0.008083,0.321320,0.378191,0.429409,0.326357,-0.113940,2.120368,-1.098834,-0.734753,1.299637,-1.520211,0.979902,1.867939,-2.067008,-1.144679,2.528489,-1.373884,2.145917,1.379233,1.493886,2.632888,-0.091096,2.175994,-1.054836,-0.771616,1.298530,-1.466803,1.090278,1.897406,-1.995462,-1.197422,2.633835,-1.212367,2.201000,1.443173,1.508322,2.736260,-0.101854,2.131049,-1.081329,-0.800928,1.269906,-1.519243,1.064072,1.878913,-2.036118,-1.156354,2.650674,-1.253251,2.234124,1.443112,1.477979,2.755014,0.026078,-0.783075,-0.037602,0.190782,-0.803693,-0.199051,3.340247,-0.151341,-0.266167,-0.353886,0.243661,-0.415598,-0.992174,-0.621130,-0.438052,-0.008553,-0.035191,-0.996227,-0.802788,-0.069055,-0.916671,0.084183,-0.483945,-0.451251,-0.028346,0.033092,0.114196,-0.011017,0.084156,0.095286,-0.049773,-0.826482,0.008643,-0.083690,-0.982418,-0.982044,0.226371,-0.071903,-0.026632,0.061385,0.135373,-0.453239,-0.950219,-0.048011,-0.864747,-0.141927,-0.811320,-0.829297,0.047982,-0.992970,-0.223970,-0.826286,0.032804,-0.081304,-0.810643,-0.269301,-0.790830,-0.126282,-0.024745,-0.132758,0.032117,-0.156583,-0.075975,-0.041648
313,4.680000,0.004935,-0.007844,-0.005077,-0.010658,-0.002416,-0.017685,-0.009127,-0.009343,-0.010885,-0.097618,-0.040622,-0.994395,-0.098057,-0.040331,-0.994363,-0.098714,-0.040396,-0.994296,-0.000000,-0.000000,-0.000000,0.132536,-0.148279,0.048598,-0.137225,0.461766,0.399046,0.377462,0.535038,-0.561368,-0.647543,-0.825672,-0.847892,0.132951,-0.149357,0.048575,-0.139308,0.462264,0.398445,0.378250,0.536265,-0.560475,-0.646009,-0.827101,-0.850063,0.133262,-0.151095,0.048566,-0.139869,0.462553,0.398155,0.378749,0.535308,-0.559780,-0.647200,-0.830393,-0.848582,0.001852,-0.003813,0.000133,-0.000620,0.005728,0.000719,0.002158,-0.005727,-0.003637,0.008034,-0.007426,0.011837,0.321662,0.366190,0.405274,0.326860,0.001256,0.000365,-0.003369,-0.006010,-0.003225,-0.005985,0.007548,0.003896,0.007696,0.025859,0.024115,-0.008083,0.321320,0.378191,0.429409,0.326357,-0.004719,-0.003748,0.002646,-0.002272,-0.014729,-0.001512,0.001114,0.001135,0.020639,-0.007201,-0.019687,-0.005247,0.311954,0.373722,0.407744,0.335825,-0.091096,2.175994,-1.054836,-0.771616,1.298530,-1.466803,1.090278,1.897406,-1.995462,-1.197422,2.633835,-1.212367,2.201000,1.443173,1.508322,2.736260,-0.101854,2.131049,-1.081329,-0.800928,1.269906,-1.519243,1.064072,1.878913,-2.036118,-1.156354,2.650674,-1.253251,2.234124,1.443112,1.477979,2.755014,-0.122284,2.113170,-1.066274,-0.834624,1.216015,-1.510500,1.017276,1.892125,-2.146869,-1.061315,2.544337,-1.366647,2.260412,1.376212,1.622117,2.654810,0.031369,-0.747029,-0.033321,0.194235,-0.741678,-0.187429,3.003661,-0.156833,-0.243056,-0.238524,0.207842,-0.431376,-0.996719,-0.636022,-0.451481,-0.039699,0.015511,-0.995705,-0.852550,-0.023707,-0.908410,0.041054,-0.443132,-0.447335,-0.054331,0.024335,0.091192,-0.011240,0.061672,0.064741,-0.021050,-0.823575,0.008921,-0.060670,-0.979696,-0.986039,0.341380,-0.059704,-0.051537,0.058814,0.122229,-0.409862,-0.957822,-0.086504,-0.855886,-0.104541,-0.766089,-0.816186,0.091802,-0.994286,-0.139991,-0.851215,0.085593,-0.077347,-0.813897,-0.273357,-0.791195,-0.079761,-0.039877,-0.119992,0.009747,-0.135595,-0.114398,-0.056253
314,4.700000,-0.010658,-0.002416,-0.017685,-0.009127,-0.009343,-0.010885,0.018695,-0.011938,-0.005514,-0.098057,-0.040331,-0.994363,-0.098714,-0.040396,-0.994296,-0.099371,-0.040903,-0.994209,-0.000000,-0.000000,-0.000000,0.132951,-0.149357,0.048575,-0.139308,0.462264,0.398445,0.378250,0.536265,-0.560475,-0.646009,-0.827101,-0.850063,0.133262,-0.151095,0.048566,-0.139869,0.462553,0.398155,0.378749,0.535308,-0.559780,-0.647200,-0.830393,-0.848582,0.134000,-0.152809,0.048583,-0.141201,0.464282,0.397186,0.379678,0.534790,-0.561564,-0.645775,-0.830158,-0.850233,0.001256,0.000365,-0.003369,-0.006010,-0.003225,-0.005985,0.007548,0.003896,0.007696,0.025859,0.024115,-0.008083,0.321320,0.378191,0.429409,0.326357,-0.004719,-0.003748,0.002646,-0.002272,-0.014729,-0.001512,0.001114,0.001135,0.020639,-0.007201,-0.019687,-0.005247,0.311954,0.373722,0.407744,0.335825,0.001133,-0.008251,-0.000126,0.004725,0.007710,0.002658,0.001151,-0.011315,-0.009379,-0.012670,-0.007315,0.016870,0.327578,0.378992,0.403169,0.338303,-0.101854,2.131049,-1.081329,-0.800928,1.269906,-1.519243,1.064072,1.878913,-2.036118,-1.156354,2.650674,-1.253251,2.234124,1.443112,1.477979,2.755014,-0.122284,2.113170,-1.066274,-0.834624,1.216015,-1.510500,1.017276,1.892125,-2.146869,-1.061315,2.544337,-1.366647,2.260412,1.376212,1.622117,2.654810,-0.154443,2.181210,-1.071031,-0.749728,1.303535,-1.488307,1.058537,1.907059,-2.064599,-1.178626,2.613992,-1.101630,2.321348,1.460556,1.674952,2.676531,0.003814,-0.803149,-0.062497,0.145844,-0.767924,-0.173739,3.317433,-0.146151,-0.206323,-0.300839,0.276050,-0.433472,-0.995351,-0.625021,-0.432687,-0.051004,-0.050957,-0.995342,-0.836205,0.074858,-0.913388,0.019808,-0.422884,-0.449910,-0.010518,-0.009484,0.082935,0.010390,0.038162,0.066297,-0.010045,-0.828843,0.016886,-0.042368,-0.978650,-0.987661,0.290328,-0.073642,-0.065745,0.051024,0.087825,-0.422240,-0.955361,-0.103855,-0.877050,-0.146994,-0.808682,-0.829577,0.026098,-0.993630,-0.245364,-0.825871,0.079118,-0.036438,-0.792118,-0.208479,-0.784195,-0.073349,-0.028584,-0.138647,-0.051922,-0.163561,-0.068571,-0.011928
