inference_index,sim_time,v0000,v0001,v0002,v0003,v0004,v0005,v0006,v0007,v0008,v0009,v0010,v0011,v0012,v0013,v0014,v0015
305,4.520000,-0.145058,2.214626,-0.964433,-0.753664,1.309877,-1.557998,1.161499,1.958686,-1.905092,-1.234319,2.635616,-1.084658,2.304825,1.455923,1.647343,2.669917
306,4.540000,-0.100731,2.193530,-0.934974,-0.786560,1.296955,-1.577546,1.183685,1.935235,-1.888324,-1.235161,2.653386,-1.086313,2.310416,1.447565,1.631982,2.663918
307,4.560000,-0.087496,2.191736,-0.895605,-0.809662,1.287403,-1.555380,1.190056,1.940099,-1.890859,-1.245977,2.654612,-1.090609,2.323881,1.418025,1.616638,2.637711
308,4.580000,-0.062467,2.169035,-0.909304,-0.826515,1.269338,-1.510278,1.135467,1.916700,-1.975963,-1.216517,2.604074,-1.207555,2.304988,1.377440,1.619530,2.612632
309,4.600000,-0.113940,2.120368,-1.098834,-0.734753,1.299637,-1.520211,0.979902,1.867939,-2.067008,-1.144679,2.528489,-1.373884,2.145917,1.379233,1.493886,2.632888
310,4.620000,-0.091096,2.175994,-1.054836,-0.771616,1.298530,-1.466803,1.090278,1.897406,-1.995462,-1.197422,2.633835,-1.212367,2.201000,1.443173,1.508322,2.736260
311,4.640000,-0.101854,2.131049,-1.081329,-0.800928,1.269906,-1.519243,1.064072,1.878913,-2.036118,-1.156354,2.650674,-1.253251,2.234124,1.443112,1.477979,2.755014
312,4.660000,-0.122284,2.113170,-1.066274,-0.834624,1.216015,-1.510500,1.017276,1.892125,-2.146869,-1.061315,2.544337,-1.366647,2.260412,1.376212,1.622117,2.654810
313,4.680000,-0.154443,2.181210,-1.071031,-0.749728,1.303535,-1.488307,1.058537,1.907059,-2.064599,-1.178626,2.613992,-1.101630,2.321348,1.460556,1.674952,2.676531
314,4.700000,-0.131994,2.167738,-1.074485,-0.763846,1.311593,-1.553092,1.100366,1.911551,-1.999365,-1.202657,2.671609,-1.109368,2.300113,1.504018,1.593511,2.710149
315,4.720000,-0.132289,2.170259,-0.958229,-0.830287,1.266079,-1.555083,1.113851,1.919651,-2.006341,-1.237539,2.610455,-1.120877,2.370585,1.430583,1.651485,2.591305
316,4.740000,-0.109506,2.172166,-0.960014,-0.803224,1.311990,-1.507960,1.125712,1.920278,-1.958650,-1.277134,2.662957,-1.068592,2.388238,1.435877,1.617622,2.619744
317,4.760000,-0.119819,2.200564,-0.935062,-0.778189,1.337998,-1.535050,1.110256,1.935265,-1.989231,-1.299865,2.664905,-1.009005,2.437254,1.469616,1.645720,2.675029
318,4.780000,-0.108715,2.171520,-0.878015,-0.828462,1.281776,-1.571022,1.101389,1.926682,-1.990981,-1.266096,2.608977,-1.158008,2.450951,1.423202,1.675901,2.610883
319,4.800000,-0.076905,2.112393,-0.981351,-0.793983,1.319256,-1.592290,1.034804,1.888829,-2.027603,-1.199709,2.630616,-1.237150,2.348669,1.387942,1.554041,2.643708
320,4.820000,-0.103637,2.189808,-0.887522,-0.801188,1.314939,-1.555426,1.096258,1.919674,-1.956889,-1.300558,2.627842,-1.142810,2.370158,1.383583,1.585604,2.639951
321,4.840000,-0.113407,2.174734,-0.858473,-0.820705,1.304721,-1.557183,1.057640,1.888535,-2.023867,-1.293907,2.617672,-1.186744,2.386050,1.401950,1.597504,2.626919
322,4.860000,-0.122586,2.153374,-0.957867,-0.739550,1.351363,-1.574047,0.987387,1.866332,-2.063794,-1.260179,2.638893,-1.163141,2.319117,1.439436,1.502241,2.701960
323,4.880000,-0.110588,2.166188,-0.866883,-0.804577,1.299479,-1.570218,1.062630,1.889076,-2.021165,-1.292252,2.645105,-1.124614,2.396590,1.429852,1.554410,2.685465
324,4.900000,-0.097336,2.104866,-0.934161,-0.823790,1.283640,-1.571208,1.005043,1.863633,-2.117656,-1.207349,2.636744,-1.229183,2.401741,1.383289,1.565154,2.645621
325,4.920000,-0.127050,2.151402,-0.915761,-0.817685,1.264492,-1.511448,1.011671,1.885613,-2.115964,-1.224865,2.550575,-1.284086,2.360066,1.361793,1.604063,2.586046
326,4.940000,-0.103431,2.165787,-0.894257,-0.825330,1.287296,-1.499233,1.091314,1.891112,-2.038284,-1.298402,2.626176,-1.158078,2.367965,1.400429,1.583277,2.586468
327,4.960000,-0.092880,2.177196,-0.853887,-0.850629,1.278734,-1.514211,1.121595,1.912746,-2.034111,-1.323360,2.651396,-1.129136,2.420085,1.408735,1.599820,2.595036
328,4.980000,-0.074259,2.155042,-0.846852,-0.853887,1.286142,-1.508384,1.124878,1.919297,-2.024816,-1.326441,2.663871,-1.096514,2.475871,1.416189,1.646435,2.622092
329,5.000000,-0.095336,2.109488,-0.987814,-0.747106,1.320780,-1.582961,1.000813,1.912009,-2.116724,-1.248167,2.641600,-1.184558,2.517817,1.454236,1.693768,2.717562
330,5.020000,-0.118137,2.188908,-0.905551,-0.754444,1.317875,-1.557990,1.095702,1.956429,-2.002560,-1.341978,2.640569,-1.104072,2.623167,1.520650,1.804647,2.736649
331,5.040000,-0.123463,2.239121,-0.878425,-0.729505,1.346070,-1.552505,1.193197,2.002671,-1.874437,-1.433601,2.711153,-0.952191,2.813114,1.643780,1.948607,2.808079
332,5.060000,-0.164802,2.236474,-0.960054,-0.641479,1.407456,-1.638323,1.162115,2.031810,-1.793627,-1.498821,2.730381,-0.918432,2.942403,1.713189,2.022955,2.910683
333,5.080000,-0.193055,2.313072,-0.977354,-0.595139,1.442612,-1.577595,1.260463,2.124981,-1.577111,-1.615056,2.783889,-0.775686,3.170485,1.884959,2.205951,3.143530
334,5.100000,-0.245398,2.310657,-1.107101,-0.520073,1.450464,-1.608028,1.226782,2.184929,-1.511376,-1.640566,2.738963,-0.920846,3.396413,2.035633,2.362718,3.300970
335,5.120000,-0.312317,2.435622,-1.170566,-0.412246,1.560083,-1.598200,1.360102,2.312257,-1.151898,-1.831412,2.926264,-0.477407,3.691320,2.295335,2.600888,3.676139
336,5.140000,-0.341706,2.419595,-1.211770,-0.406155,1.556680,-1.699975,1.422046,2.430635,-0.913733,-1.874411,3.034402,-0.337966,3.979681,2.428992,2.804204,3.894656
337,5.160000,-0.392439,2.493370,-1.202008,-0.348568,1.618930,-1.733478,1.397385,2.493605,-0.847727,-1.965063,3.070147,-0.137897,4.130048,2.476464,2.897691,4.000098
338,5.180000,-0.348850,2.468207,-1.167973,-0.406728,1.594948,-1.722815,1.422471,2.503186,-0.754822,-1.956368,3.008902,-0.243655,4.077351,2.410293,2.774035,3.891557
339,5.200000,-0.290285,2.364194,-1.171279,-0.464521,1.508783,-1.707075,1.273091,2.360483,-1.111297,-1.800410,2.775242,-0.703376,3.815425,2.204495,2.464759,3.477074
340,5.220000,-0.231790,2.357738,-1.071545,-0.481002,1.510842,-1.603449,1.216373,2.298834,-1.364307,-1.713059,2.784916,-0.621047,3.653943,2.150489,2.446599,3.333655
341,5.240000,-0.163935,2.394665,-0.852410,-0.571552,1.448015,-1.611613,1.239241,2.223312,-1.404216,-1.683935,2.737817,-0.730436,3.492181,2.074106,2.391427,3.196721
342,5.260000,-0.040480,2.318889,-0.739767,-0.676082,1.393785,-1.551701,1.198986,2.081959,-1.637964,-1.632106,2.663572,-0.959782,3.266983,1.975621,2.271645,3.121240
343,5.280000,0.017873,2.222672,-0.718879,-0.748645,1.311119,-1.476735,1.102088,2.022953,-1.965392,-1.509340,2.562251,-1.152586,3.144749,1.914460,2.341687,3.047667
344,5.300000,0.061160,2.184722,-0.647357,-0.813604,1.235596,-1.421012,1.078498,1.973700,-2.046438,-1.430880,2.475895,-1.399712,3.005616,1.891485,2.401077,2.999616
345,5.320000,0.108098,2.155729,-0.692439,-0.835275,1.231519,-1.383414,1.121898,1.960075,-2.036646,-1.449015,2.500095,-1.438546,2.962893,1.975455,2.447436,3.092485
346,5.340000,0.073502,2.128082,-0.792369,-0.812054,1.201502,-1.395647,1.122404,1.996556,-2.035546,-1.436193,2.500114,-1.517740,3.089368,2.089941,2.611253,3.217483
347,5.360000,0.055701,2.124057,-0.868068,-0.792961,1.195704,-1.375153,1.147878,2.040321,-1.975263,-1.427569,2.516626,-1.519966,3.217232,2.204703,2.751774,3.319334
348,5.380000,0.029575,2.122187,-0.978770,-0.745632,1.215726,-1.380304,1.161696,2.079786,-1.939337,-1.438672,2.549815,-1.470432,3.298673,2.290791,2.785630,3.380322
349,5.400000,0.014894,2.133058,-1.021660,-0.712042,1.219712,-1.387121,1.170546,2.108252,-1.911787,-1.440947,2.583167,-1.468505,3.339784,2.313617,2.777079,3.416471
350,5.420000,0.028457,2.112538,-0.985878,-0.749975,1.191781,-1.380307,1.195456,2.149785,-1.889590,-1.386216,2.596754,-1.506764,3.370257,2.287457,2.798091,3.394165
351,5.440000,0.015218,2.197895,-0.942401,-0.717816,1.253739,-1.298981,1.240015,2.206687,-1.818716,-1.475678,2.632537,-1.360038,3.444330,2.352371,2.902273,3.472013
352,5.460000,0.043942,2.267044,-0.860216,-0.719130,1.278037,-1.242658,1.313769,2.258060,-1.706727,-1.571665,2.685560,-1.254553,3.521432,2.440445,3.029332,3.605054
353,5.480000,0.097084,2.253527,-0.752255,-0.782592,1.256121,-1.216604,1.352450,2.312274,-1.612623,-1.560497,2.714319,-1.278982,3.605814,2.443820,3.174040,3.696826
354,5.500000,0.143368,2.288069,-0.631783,-0.805154,1.271237,-1.114382,1.414968,2.381258,-1.429504,-1.618848,2.766824,-1.241133,3.676611,2.467239,3.382576,3.884857
355,5.520000,0.188288,2.376755,-0.431397,-0.812967,1.322604,-0.970626,1.519542,2.479496,-1.146982,-1.765720,2.879426,-1.076292,3.784680,2.571762,3.695496,4.214575
